PeakID (cmd=annotatePeaks.pl 4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3074	chr19	676392	676453	+	240	NA	5' UTR (NM_005860, exon 1 of 5)	promoter-TSS (NM_005860)	33	NM_005860	10272	Hs.529038	NM_005860	ENSG00000070404	FSTL3	FLRG|FSRP	follistatin-like 3 (secreted glycoprotein)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4241	chr22	40742531	40742596	+	239	NA	exon (NM_000026, exon 1 of 13)	promoter-TSS (NM_000026)	59	NM_000026	158	Hs.75527	NM_000026	ENSG00000239900	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_433	chr1	153643392	153643466	+	239	NA	5' UTR (NM_004515, exon 1 of 14)	promoter-TSS (NM_004515)	75	NM_004515	3608	Hs.75117	NM_004515	ENSG00000143621	ILF2	NF45|PRO3063	interleukin enhancer binding factor 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_570	chr1	201476190	201476251	+	238	NA	5' UTR (NM_001193570, exon 1 of 6)	promoter-TSS (NM_001193571)	167	NM_001193570	1465	Hs.108080	NM_004078	ENSG00000159176	CSRP1	CRP|CRP1|CSRP|CYRP|D1S181E|HEL-141|HEL-S-286	cysteine and glycine-rich protein 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_455	chr1	161123773	161123832	+	238	NA	exon (NM_016406, exon 1 of 6)	exon (NM_016406, exon 1 of 6)	268	NM_016406	51506	Hs.301412	NM_016406	ENSG00000143222	UFC1	HSPC155	ubiquitin-fold modifier conjugating enzyme 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5398	chr7	45960818	45960871	+	237	NA	5' UTR (NM_000598, exon 1 of 5)	promoter-TSS (NM_000598)	27	NM_000598	3486	Hs.450230	NM_000598	ENSG00000146674	IGFBP3	BP-53|IBP3	insulin like growth factor binding protein 3	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6603	chrX	68892323	68892411	+	237	NA	intron (NM_001005613, intron 2 of 2)	5S|rRNA|rRNA	56456	NM_001005613	1896	Hs.105407	NM_001399	ENSG00000158813	EDA	ECTD1|ED1|ED1-A1|ED1-A2|EDA-A1|EDA-A2|EDA1|EDA2|HED|HED1|ODT1|STHAGX1|XHED|XLHED	ectodysplasin A	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1375	chr12	6961300	6961391	+	237	NA	exon (NM_003481, exon 1 of 20)	promoter-TSS (NM_003481)	54	NM_003481	8078	Hs.631661	NM_003481	ENSG00000111667	USP5	ISOT	ubiquitin specific peptidase 5 (isopeptidase T)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3807	chr21	44527559	44527675	+	237	NA	5' UTR (NM_001025204, exon 1 of 9)	promoter-TSS (NM_001025204)	71	NM_001025204	7307	Hs.365116	NM_006758	ENSG00000160201	U2AF1	FP793|RN|RNU2AF1|U2AF35|U2AFBP	U2 small nuclear RNA auxiliary factor 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1541	chr12	54674490	54674609	+	237	NA	5' UTR (NM_031157, exon 1 of 11)	promoter-TSS (NM_031157)	16	NR_002944	664709	Hs.534822	NR_002944		HNRNPA1P10	HNRPA1L-2	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10	pseudo
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1844	chr14	34931381	34931446	+	237	NA	exon (NM_138288, exon 1 of 2)	promoter-TSS (NM_138288)	55	NM_138288	171546	Hs.740577	NM_138288	ENSG00000165389	SPTSSA	C14orf147|SSSPTA	serine palmitoyltransferase, small subunit A	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1949	chr14	91976587	91976645	+	237	NA	5' UTR (NM_001284281, exon 1 of 13)	5' UTR (NM_001284281, exon 1 of 13)	208	NM_001284281	55671	Hs.533887	NM_017936	ENSG00000100796	PPP4R3A	FLFL1|KIAA2010|MSTP033|PP4R3|PP4R3A|SMEK1|smk-1|smk1	protein phosphatase 4, regulatory subunit 3A	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5373	chr7	30544308	30544445	+	237	NA	5' UTR (NM_001199817, exon 1 of 2)	promoter-TSS (NM_001199817)	81	NM_001199816	79017	Hs.530024	NM_024051	ENSG00000006625	GGCT	C7orf24|CRF21|GCTG|GGC	gamma-glutamylcyclotransferase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1954	chr14	55518380	55518472	+	237	NA	5' UTR (NM_144578, exon 1 of 4)	promoter-TSS (NM_144578)	64	NM_144578	93487	Hs.594338	NM_144578	ENSG00000168175	MAPK1IP1L	C14orf32|MISS|c14_5346	mitogen-activated protein kinase 1 interacting protein 1-like	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4210	chr22	29695741	29695814	+	236	NA	exon (NM_005243, exon 16 of 17)	exon (NM_005243, exon 16 of 17)	-7208	NM_001278730	10634	Hs.322852	NM_006478	ENSG00000185340	GAS2L1	GAR22	growth arrest-specific 2 like 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_876	chr10	102112132	102112272	+	236	NA	exon (NM_005063, exon 3 of 6)	exon (NM_005063, exon 3 of 6)	5430	NM_005063	6319	Hs.558396	NM_005063	ENSG00000099194	SCD	FADS5|MSTP008|SCD1|SCDOS|hSCD1	stearoyl-CoA desaturase (delta-9-desaturase)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_149	chr1	36690037	36690113	+	236	NA	5' UTR (NM_005119, exon 1 of 12)	promoter-TSS (NM_005119)	58	NM_005119	9967	Hs.744057	NM_005119	ENSG00000054118	THRAP3	TRAP150	thyroid hormone receptor associated protein 3	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1204	chr11	74457182	74457239	+	236	NA	Intergenic--9959	Intergenic	-2703	NM_001098638	254225	Hs.370145	NM_001098638	ENSG00000166439	RNF169	-	ring finger protein 169	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4705	chr4	39699739	39699813	+	235	NA	5' UTR (NM_001312648, exon 1 of 6)	5' UTR (NM_001312648, exon 1 of 6)	112	NM_005339	3093	Hs.50308	NM_005339	ENSG00000078140	UBE2K	E2-25K|HIP2|HYPG|LIG|UBC1	ubiquitin conjugating enzyme E2K	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3031	chr18	43684346	43684406	+	235	NA	5' UTR (NM_138443, exon 1 of 9)	promoter-TSS (NM_001001937)	78	NM_138443	115106	Hs.436617	NM_138443	ENSG00000152240	HAUS1	CCDC5|HEI-C|HEIC|HsT1461	HAUS augmin like complex subunit 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6404	chrX	153637499	153637592	+	234	NA	5' UTR (NM_001303620, exon 1 of 8)	promoter-TSS (NM_001303620)	69	NM_001303620	1774	Hs.401929	NM_006730	ENSG00000013563	DNASE1L1	DNAS1L1|DNASEX|DNL1L|G4.8|XIB	deoxyribonuclease I-like 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3864	chr22	30987808	30987877	+	234	NA	5' UTR (NM_014303, exon 1 of 15)	promoter-TSS (NM_014303)	85	NM_001243225	23481	Hs.517543	NM_014303	ENSG00000100029	PES1	PES	pescadillo ribosomal biogenesis factor 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5026	chr5	68462956	68463067	+	234	NA	5' UTR (NM_031966, exon 1 of 9)	5' UTR (NM_031966, exon 1 of 9)	174	NM_031966	891	Hs.23960	NM_031966	ENSG00000134057	CCNB1	CCNB	cyclin B1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_853	chr10	95241918	95242090	+	234	NA	5' UTR (NM_013451, exon 1 of 54)	promoter-TSS (NM_013451)	70	NM_013451	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4160	chr21	40177855	40177947	+	234	NA	5' UTR (NM_005239, exon 1 of 10)	exon (NM_001256295, exon 2 of 11)	146	NM_005239	2114	Hs.644231	NM_005239	ENSG00000157557	ETS2	ETS2IT1	v-ets avian erythroblastosis virus E26 oncogene homolog 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1724	chr12	125424512	125424598	+	233	NA	Intergenic--11123	tRNA-Ala-GCG|tRNA|tRNA	24462	NR_049820	100847004		NR_049820	ENSG00000265345	MIR5188	mir-5188	microRNA 5188	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3826	chr2	201936725	201936802	+	233	NA	5' UTR (NM_001257102, exon 1 of 4)	promoter-TSS (NM_173822)	301	NM_001257102	4709	Hs.109760	NM_002491	ENSG00000119013	NDUFB3	B12|CI-B12	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2907	chr17	72200279	72200347	+	233	NA	exon (NM_001035258, exon 3 of 5)	exon (NM_001035258, exon 3 of 5)	518	NM_000999	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3002	chr18	13726682	13726767	+	232	NA	5' UTR (NM_001308263, exon 1 of 12)	promoter-TSS (NM_152352)	65	NM_003799	8731	Hs.592347	NM_003799	ENSG00000101654	RNMT	CMT1|CMT1c|MET|Met|RG7MT1|cm1p|hCMT1|hMet	RNA (guanine-7-) methyltransferase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1899	chr14	23235892	23235959	+	232	NA	exon (NM_005015, exon 1 of 10)	exon (NM_005015, exon 1 of 10)	194	NM_005015	5018	Hs.151134	NM_005015	ENSG00000155463	OXA1L	OXA1	oxidase (cytochrome c) assembly 1-like	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_600	chr1	218518677	218518755	+	232	NA	5' UTR (NM_001135599, exon 1 of 8)	promoter-TSS (NM_001135599)	40	NM_003238	7042	Hs.133379	NM_003238	ENSG00000092969	TGFB2	LDS4|TGF-beta2	transforming growth factor beta 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2836	chr17	49337896	49337977	+	232	NA	5' UTR (NM_016001, exon 1 of 14)	promoter-TSS (NM_016001)	39	NM_016001	51096	Hs.709327	NM_016001	ENSG00000011260	UTP18	CGI-48|WDR50	UTP18 small subunit (SSU) processome component	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3966	chr3	15106748	15106801	+	232	NA	5' UTR (NM_022497, exon 1 of 4)	promoter-TSS (NM_022497)	42	NM_022497	64432	Hs.657764	NM_022497	ENSG00000131368	MRPS25	MRP-S25|RPMS25	mitochondrial ribosomal protein S25	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2732	chr17	62502344	62502404	+	231	NA	5' UTR (NM_004396, exon 1 of 13)	promoter-TSS (NR_133644)	110	NM_004396	1655	Hs.279806	NM_004396	ENSG00000108654	DDX5	G17P1|HLR1|HUMP68|p68	DEAD (Asp-Glu-Ala-Asp) box helicase 5	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5730	chr8	71520480	71520651	+	231	NA	5' UTR (NM_014294, exon 1 of 11)	promoter-TSS (NR_038881)	129	NM_014294	23471	Hs.491988	NM_014294	ENSG00000067167	TRAM1	PNAS8|TRAM|TRAMP	translocation associated membrane protein 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_684	chr1	245027331	245027418	+	231	NA	exon (NM_004501, exon 1 of 14)	exon (NM_004501, exon 1 of 14)	453	NM_004501	3192	Hs.106212	NM_004501	ENSG00000153187	HNRNPU	HNRNPU-AS1|HNRPU|SAF-A|SAFA|U21.1|hnRNP U	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3501	chr2	28615725	28615818	+	231	NA	intron (NR_103831, intron 1 of 1)	promoter-TSS (NM_005253)	-8	NM_005253	2355	Hs.220971	NM_005253	ENSG00000075426	FOSL2	FRA2	FOS-like antigen 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5474	chr6	42989349	42989417	+	230	NA	Intergenic	promoter-TSS (NM_033112)	-2	NM_033112	88745	Hs.309231	NM_033112	ENSG00000124541	RRP36	C6orf153|dJ20C7.4	ribosomal RNA processing 36	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1126	chr11	62623300	62623352	+	230	NA	intron (NR_003098, intron 1 of 10)	promoter-TSS (NM_002394)	34	NR_003098	23642	Hs.655643	NR_003098	ENSG00000255717	SNHG1	LINC00057|NCRNA00057|U22HG|UHG	small nucleolar RNA host gene 1	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_587	chr1	204531521	204531637	+	229	NA	Intergenic--1437	5S|rRNA|rRNA	46072	NM_001204171	4194	Hs.497492	NM_002393	ENSG00000198625	MDM4	HDMX|MDMX|MRP1	MDM4, p53 regulator	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2995	chr19	14247335	14247401	+	229	NA	5' UTR (NM_018154, exon 1 of 4)	promoter-TSS (NM_018154)	72	NM_018154	55723	Hs.26516	NM_018154	ENSG00000105011	ASF1B	CIA-II	anti-silencing function 1B histone chaperone	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1112	chr11	62446469	62446548	+	229	NA	5' UTR (NM_015853, exon 1 of 8)	promoter-TSS (NM_015853)	81	NM_001286077	51035	Hs.351296	NM_015853	ENSG00000162191	UBXN1	2B28|SAKS1|UBXD10	UBX domain protein 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4050	chr20	44441256	44441358	+	229	NA	5' UTR (NM_001281742, exon 1 of 5)	promoter-TSS (NM_001281742)	92	NM_181800	11065	Hs.93002	NM_007019	ENSG00000175063	UBE2C	UBCH10|dJ447F3.2	ubiquitin-conjugating enzyme E2C	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4468	chr3	99536706	99536803	+	229	NA	5' UTR (NM_032359, exon 1 of 10)	promoter-TSS (NM_032359)	76	NM_032359	84319	Hs.581320	NM_032359	ENSG00000184220	CMSS1	C3orf26	cms1 ribosomal small subunit homolog (yeast)	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2706	chr17	55038333	55038404	+	229	NA	exon (NM_004645, exon 1 of 7)	promoter-TSS (NM_004645)	43	NM_004645	8161	Hs.532795	NM_004645	ENSG00000121058	COIL	CLN80|p80-coilin	coilin	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5366	chr6	26597178	26597241	+	229	NA	5' UTR (NM_013375, exon 1 of 3)	promoter-TSS (NM_013375)	38	NM_013375	29777	Hs.254406	NM_013375		ABT1	hABT1	activator of basal transcription 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5386	chr7	43769022	43769129	+	229	NA	5' UTR (NM_018224, exon 1 of 6)	promoter-TSS (NR_047701)	65	NM_018224	55744	Hs.654779	NM_018224	ENSG00000106603	COA1	C7orf44|MITRAC15	cytochrome c oxidase assembly factor 1 homolog	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3824	chr2	201694732	201694812	+	228	NA	Intergenic--2617	U6|snRNA|snRNA	17716	NM_001207068	9689	Hs.355983	NM_014670	ENSG00000082153	BZW1	BZAP45|Nbla10236	basic leucine zipper and W2 domains 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4296	chr3	4535032	4535092	+	228	NA	5' UTR (NM_001099952, exon 1 of 59)	promoter-TSS (NM_001099952)	30	NM_001168272	3708	Hs.567295	NM_002222	ENSG00000150995	ITPR1	ACV|CLA4|INSP3R1|IP3R|IP3R1|PPP1R94|SCA15|SCA16|SCA29	inositol 1,4,5-trisphosphate receptor, type 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4771	chr5	137089911	137090049	+	228	NA	5' UTR (NM_006805, exon 1 of 1)	promoter-TSS (NM_006805)	59	NM_006805	10949	Hs.96996	NM_006805		HNRNPA0	HNRPA0	heterogeneous nuclear ribonucleoprotein A0	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3376	chr19	48949241	48949310	+	228	NA	exon (NM_031485, exon 1 of 7)	exon (NM_031485, exon 1 of 7)	245	NM_031485	83743	Hs.400625	NM_031485		GRWD1	CDW4|GRWD|RRB1|WDR28	glutamate-rich WD repeat containing 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1183a	chr11	65273236	65273501	+	228	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	8135	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4333	chr3	17706473	17706537	+	227	NA	intron (NM_001134381, intron 1 of 23)	U7|snRNA|snRNA	35007	NM_001134381	9779	Hs.475629	NM_014744	ENSG00000131374	TBC1D5	-	TBC1 domain family, member 5	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1771	chr13	45694641	45694711	+	227	NA	5' UTR (NM_004128, exon 1 of 8)	promoter-TSS (NM_004128)	45	NM_004128	2963	Hs.654582	NM_004128	ENSG00000188342	GTF2F2	BTF4|RAP30|TF2F2|TFIIF	general transcription factor IIF subunit 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1470	chr12	34358699	34358775	+	227	NA	Intergenic--10537	5S|rRNA|rRNA	183521	NM_032834	84920	Hs.102971	NM_032834	ENSG00000139133	ALG10	ALG10A|DIE2|KCR1	ALG10, alpha-1,2-glucosyltransferase	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3532	chr2	40114900	40114951	+	227	NA	Intergenic--1928	MIR|SINE|MIR	-29849	NR_038441	100128590	Hs.744988	NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4205	chr22	28189337	28189394	+	227	NA	intron (NM_002430, intron 1 of 1)	U3|snRNA|snRNA	8121	NM_002430	4330	Hs.268515	NM_002430	ENSG00000169184	MN1	MGCR|MGCR1|MGCR1-PEN|dJ353E16.2	meningioma (disrupted in balanced translocation) 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4180	chr21	47281666	47281725	+	227	NA	intron (NM_001130141, intron 1 of 12)	intron (NM_001130141, intron 1 of 12)	11820	NM_001130141	54039	Hs.474049	NM_020528	ENSG00000183570	PCBP3	ALPHA-CP3	poly(rC) binding protein 3	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2780	chr17	41150778	41150852	+	227	NA	exon (NM_000988, exon 2 of 5)	exon (NM_000988, exon 2 of 5)	369	NM_000988	6155	Hs.514196	NM_000988	ENSG00000131469	RPL27	L27	ribosomal protein L27	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4434	chr3	56106189	56106248	+	227	NA	intron (NR_132749, intron 7 of 17)	7SK|RNA|RNA	-219596	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6566	chrX	41152050	41152099	+	227	NA	Intergenic	promoter-TSS (NR_106988).27	-16	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_232	chr1	53391723	53391775	+	226	NA	Intergenic--555	U2|snRNA|snRNA	-1152	NM_001007098	6342	Hs.476365	NM_002979	ENSG00000116171	SCP2	NLTP|NSL-TP|SCP-2|SCP-CHI|SCP-X|SCPX	sterol carrier protein 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6075	chr9	112555300	112555349	+	226	NA	intron (NM_007203, intron 1 of 10)	U2|snRNA|snRNA	12747	NM_053016	114299	Hs.591908	NM_053016		PALM2	AKAP2	paralemmin 2	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5856	chr8	133451038	133451087	+	226	NA	intron (NM_004519, intron 1 of 14)	L3|LINE|CR1	8447	NM_001204824	3786	Hs.374023	NM_004519	ENSG00000184156	KCNQ3	BFNC2|EBN2|KV7.3	potassium channel, voltage gated KQT-like subfamily Q, member 3	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_398	chr1	151227221	151227301	+	226	NA	exon (NM_002810, exon 1 of 10)	promoter-TSS (NM_002810)	64	NM_002810	5710	Hs.505059	NM_002810	ENSG00000159352	PSMD4	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	proteasome 26S subunit, non-ATPase 4	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4951	chr6	27740101	27740150	+	226	NA	Intergenic--5534	5S|rRNA|rRNA	10602	NR_038929	100131289	Hs.200573	NR_038929		LOC100131289	-	uncharacterized LOC100131289	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2383	chr16	74640940	74641012	+	226	NA	exon (NM_001145666, exon 1 of 26)	promoter-TSS (NM_001145666)	66	NM_001145666	2734	Hs.109731	NM_012201	ENSG00000090863	GLG1	CFR-1|ESL-1|MG-160|MG160	golgi glycoprotein 1	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2620	chr17	40024067	40024143	+	226	NA	exon (NM_001303275, exon 28 of 28)	exon (NM_001303275, exon 28 of 28)	-2421	NM_018143	55175	Hs.13268	NM_018143		KLHL11	-	kelch-like family member 11	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3751	chr21	23250139	23250188	+	226	NA	Intergenic--16135	Intergenic	130858	NR_109958	101927821	Hs.334181	NR_109958	ENSG00000233997	LINC01425	-	long intergenic non-protein coding RNA 1425	ncRNA
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5038	chr5	71146755	71146806	+	226	NA	Intergenic--4792	LSU-rRNA_Hsa|rRNA|rRNA	131790	NM_004291	9607	Hs.1707	NM_004291	ENSG00000164326	CARTPT	CART	CART prepropeptide	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2267	chr15	79603457	79603540	+	226	NA	5' UTR (NM_007364, exon 1 of 3)	promoter-TSS (NM_007364)	94	NM_007364	23423	Hs.513058	NM_007364	ENSG00000166557	TMED3	C15orf22|P24B|p26	transmembrane p24 trafficking protein 3	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4165	chr3	128369546	128369673	+	226	NA	exon (NM_002950, exon 1 of 10)	exon (NM_002950, exon 1 of 10)	110	NM_002950	6184	Hs.518244	NM_002950	ENSG00000163902	RPN1	OST1|RBPH1	ribophorin I	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2970	chr19	11456894	11456952	+	226	NA	5' UTR (NM_001145416, exon 1 of 4)	promoter-TSS (NM_001145416)	58	NM_033408	374882	Hs.8036	NM_033408	ENSG00000105518	TMEM205	UNQ501	transmembrane protein 205	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4579	chr5	33888217	33888266	+	226	NA	intron (NM_030955, intron 1 of 23)	U6|snRNA|snRNA	3883	NM_030955	81792	Hs.12680	NM_030955	ENSG00000151388	ADAMTS12	PRO4389	ADAM metallopeptidase with thrombospondin type 1 motif 12	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6043	chr8	30013855	30013938	+	226	NA	5' UTR (NM_006571, exon 1 of 7)	promoter-TSS (NM_006571)	83	NM_006571	10671	Hs.158427	NM_006571	ENSG00000104671	DCTN6	WS-3|WS3|p27	dynactin 6	protein-coding
4E1-eFT-01_S5_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1245	chr11	93466396	93466452	+	226	NA	non-coding (NR_003033, exon 1 of 1)	promoter-TSS (NR_003033)	42	NR_003033	692072		NR_003033	ENSG00000239195	SNORD5	mgh28S-2410	small nucleolar RNA, C/D box 5	snoRNA
