PeakID (cmd=annotatePeaks.pl 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1895	chr15	42565571	42565626	+	85	NA	5' UTR (NM_015497, exon 1 of 20)	promoter-TSS (NM_001301410)	184	NM_001286487	25963	Hs.511138	NM_015497	ENSG00000103978	TMEM87A	-	transmembrane protein 87A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4558	chr6	8102710	8102795	+	85	NA	exon (NM_001135650, exon 1 of 4)	promoter-TSS (NM_001135650)	76	NM_001135650	9521	Hs.602353	NM_004280	ENSG00000124802	EEF1E1	AIMP3|P18	eukaryotic translation elongation factor 1 epsilon 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5419	chr8	131028834	131028905	+	85	NA	non-coding (NR_046361, exon 1 of 14)	promoter-TSS (NR_046361)	28	NR_046360	51571	Hs.126941	NM_016623	ENSG00000153310	FAM49B	BM-009|L1	family with sequence similarity 49, member B	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5507	chr9	21975057	21975124	+	85	NA	5' UTR (NM_001195132, exon 1 of 4)	promoter-TSS (NM_001195132)	42	NM_001195132	1029	Hs.512599	NM_000077	ENSG00000147889	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	cyclin-dependent kinase inhibitor 2A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_540	chr1	202896281	202896343	+	85	NA	5' UTR (NM_021633, exon 1 of 12)	promoter-TSS (NM_021633)	88	NM_001303109	59349	Hs.706793	NM_021633	ENSG00000117153	KLHL12	C3IP1|DKIR	kelch-like family member 12	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_68	chr1	21887655	21887726	+	85	NA	exon (NM_001127501, exon 3 of 11)	exon (NM_001127501, exon 3 of 11)	51832	NM_001177520	249	Hs.75431	NM_000478	ENSG00000162551	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	alkaline phosphatase, liver/bone/kidney	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3711	chr20	60878050	60878122	+	85	NA	5' UTR (NM_001281438, exon 1 of 9)	5' UTR (NM_001281438, exon 1 of 9)	134	NM_175573	11047	Hs.90107	NM_007002	ENSG00000130706	ADRM1	ARM-1|ARM1|GP110	adhesion regulating molecule 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_724	chr10	73576327	73576512	+	85	NA	3' UTR (NM_002778, exon 14 of 14)	TTS (NM_001171933)	4779	NM_001171936	64072	Hs.656032	NM_022124	ENSG00000107736	CDH23	CDHR23|USH1D	cadherin-related 23	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2478	chr17	34171676	34171930	+	85	NA	exon (NM_139215, exon 15 of 16)	exon (NM_139215, exon 15 of 16)	24092	NM_152781	256957	Hs.514820	NM_152781	ENSG00000270379	HEATR9	C17orf66	HEAT repeat containing 9	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2621	chr18	34408697	34408768	+	85	NA	5' UTR (NM_001271950, exon 1 of 6)	promoter-TSS (NM_020776)	-348	NM_020776	57536	Hs.4045	NM_020776	ENSG00000150477	KIAA1328	-	KIAA1328	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4172	chr4	181405946	181406036	+	85	NA	Intergenic--4494	U3|snRNA|snRNA	674311	NR_033918	728081	Hs.535735	NR_033918	ENSG00000248197	LINC00290	NCRNA00290	long intergenic non-protein coding RNA 290	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3769	chr3	63849432	63849499	+	85	NA	5' UTR (NM_001285387, exon 1 of 7)	promoter-TSS (NM_000333)	-3	NM_001285404	80145	Hs.288151	NM_025075	ENSG00000163634	THOC7	NIF3L1BP1|fSAP24|hTREX30	THO complex 7	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_765	chr10	97050696	97050763	+	85	NA	5' UTR (NM_020992, exon 1 of 7)	5' UTR (NM_020992, exon 1 of 7)	176	NM_020992	9124	Hs.368525	NM_020992	ENSG00000107438	PDLIM1	CLIM1|CLP-36|CLP36|HEL-S-112|hCLIM1	PDZ and LIM domain 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3749	chr21	33039590	33039643	+	84	NA	exon (NM_000454, exon 4 of 5)	exon (NM_000454, exon 4 of 5)	7681	NM_000454	6647	Hs.443914	NM_000454	ENSG00000142168	SOD1	ALS|ALS1|HEL-S-44|IPOA|SOD|hSod1|homodimer	superoxide dismutase 1, soluble	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1856	chr14	105487333	105487440	+	84	NA	5' UTR (NM_145701, exon 1 of 3)	promoter-TSS (NM_145701)	39	NM_017955	55038	Hs.34045	NM_017955	ENSG00000170779	CDCA4	HEPP|SEI-3/HEPP	cell division cycle associated 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3677	chr3	27414515	27414567	+	84	NA	3' UTR (NM_003615, exon 25 of 25)	3' UTR (NM_003615, exon 25 of 25)	-3590	NM_152534	152110	Hs.506115	NM_152534	ENSG00000163491	NEK10	-	NIMA-related kinase 10	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4826	chr6	117923583	117923656	+	84	NA	5' UTR (NM_001017408, exon 1 of 8)	promoter-TSS (NM_001017408)	86	NM_020399	57120	Hs.191539	NM_020399	ENSG00000047932	GOPC	CAL|FIG|GOPC1|PIST|dJ94G16.2	golgi-associated PDZ and coiled-coil motif containing	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3588	chr20	21283957	21284048	+	84	NA	5' UTR (NM_012255, exon 1 of 30)	promoter-TSS (NM_012255)	60	NM_012255	22803	Hs.255932	NM_012255	ENSG00000088930	XRN2	-	5'-3' exoribonuclease 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4150	chr3	160117439	160117490	+	84	NA	5' UTR (NM_001288753, exon 1 of 24)	promoter-TSS (NM_020800)	-144	NM_001190241	57560	Hs.478095	NM_020800	ENSG00000068885	IFT80	ATD2|SRTD2|WDR56	intraflagellar transport 80	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_240	chr1	67880834	67880913	+	84	NA	exon (NM_015640, exon 7 of 8)	exon (NM_015640, exon 7 of 8)	15250	NM_001018068	26135	Hs.530412	NM_015640	ENSG00000142864	SERBP1	CGI-55|CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	SERPINE1 mRNA binding protein 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_907	chr11	18418461	18418530	+	84	NA	exon (NM_001135239, exon 2 of 7)	exon (NM_001135239, exon 2 of 7)	682	NM_001165414	3939	Hs.2795	NM_005566	ENSG00000134333	LDHA	GSD11|HEL-S-133P|LDHM|PIG19	lactate dehydrogenase A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2647	chr18	55288925	55289042	+	84	NA	5' UTR (NM_004539, exon 1 of 14)	5' UTR (NM_004539, exon 1 of 14)	194	NM_004539	4677	Hs.465224	NM_004539	ENSG00000134440	NARS	ASNRS|NARS1	asparaginyl-tRNA synthetase	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1976a	chr15	69113077	69113234	+	84	NA	5' UTR (NM_006305, exon 1 of 7)	5' UTR (NM_006305, exon 1 of 7)	106	NM_006305	8125	Hs.458747	NM_006305	ENSG00000140350	ANP32A	C15orf1|HPPCn|I1PP2A|LANP|MAPM|PHAP1|PHAPI|PP32	acidic nuclear phosphoprotein 32 family member A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_151	chr1	38455608	38455699	+	84	NA	5' UTR (NM_006802, exon 1 of 17)	5' UTR (NM_006802, exon 1 of 17)	108	NM_006802	10946	Hs.77897	NM_006802	ENSG00000183431	SF3A3	PRP9|PRPF9|SAP61|SF3a60	splicing factor 3a subunit 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4368	chr4	152024980	152025034	+	84	NA	non-coding (NR_000007, exon 1 of 1)	promoter-TSS (NR_000007)	28	NR_000007	8944		NR_000007	ENSG00000208797	SNORD73A	RNU73|RNU73A|U73|U73a	small nucleolar RNA, C/D box 73A	snoRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_213	chr1	65886355	65886450	+	84	NA	5' UTR (NM_017526, exon 1 of 4)	promoter-TSS (NM_001198681)	3	NM_001198681	54741	Hs.23581	NM_017526	ENSG00000213625	LEPROT	LEPR|OB-RGRP|OBRGRP|VPS55	leptin receptor overlapping transcript	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4914	chr6	28912348	28912439	+	84	NA	Intergenic	TTS (NR_103538)	832	NR_103538	729583	Hs.453549	NR_103538		LINC01556	C6orf100|dJ25J6.5	long intergenic non-protein coding RNA 1556	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_963	chr11	47447934	47448000	+	84	NA	5' UTR (NM_002804, exon 1 of 12)	promoter-TSS (NM_002804)	57	NM_002804	5702	Hs.250758	NM_002804	ENSG00000165916	PSMC3	TBP1	proteasome 26S subunit, ATPase 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_774	chr10	102108069	102108134	+	84	NA	exon (NM_005063, exon 2 of 6)	exon (NM_005063, exon 2 of 6)	1329	NM_005063	6319	Hs.558396	NM_005063	ENSG00000099194	SCD	FADS5|MSTP008|SCD1|SCDOS|hSCD1	stearoyl-CoA desaturase (delta-9-desaturase)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5753	chrX	20154173	20154234	+	84	NA	non-coding (NR_023358, exon 1 of 1)	TTS (NR_023358)	328	NR_023358	100158262		NR_023358		SCARNA9L	-	small Cajal body-specific RNA 9-like	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2389	chr17	35715955	35716039	+	84	NA	5' UTR (NM_198836, exon 1 of 56)	promoter-TSS (NM_198836)	62	NM_198836	31	Hs.160556	NM_000664	ENSG00000278540	ACACA	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase alpha	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_961	chr11	47447402	47447485	+	84	NA	exon (NM_002804, exon 2 of 12)	exon (NM_002804, exon 2 of 12)	581	NM_002804	5702	Hs.250758	NM_002804	ENSG00000165916	PSMC3	TBP1	proteasome 26S subunit, ATPase 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2131	chr16	4421850	4421903	+	84	NA	5' UTR (NM_138440, exon 1 of 2)	promoter-TSS (NM_138440)	27	NM_138440	114990	Hs.372579	NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_394	chr1	150947107	150947202	+	84	NA	5' UTR (NM_022075, exon 1 of 11)	5' UTR (NM_022075, exon 1 of 11)	325	NM_022075	29956	Hs.744017	NM_013384	ENSG00000143418	CERS2	L3|LASS2|SP260|TMSG1	ceramide synthase 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4798	chr6	99873091	99873151	+	84	NA	5' UTR (NM_032870, exon 1 of 12)	promoter-TSS (NM_032870)	86	NM_015491	25957	Hs.520287	NM_015491	ENSG00000132424	PNISR	C6orf111|HSPC306|SFRS18|SRrp130|bA98I9.2	PNN-interacting serine/arginine-rich protein	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5796	chrX	53461256	53461317	+	84	NA	exon (NM_004493, exon 1 of 6)	promoter-TSS (NM_004493)	37	NM_004493	3028	Hs.171280	NM_004493	ENSG00000072506	HSD17B10	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	hydroxysteroid (17-beta) dehydrogenase 10	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1934	chr15	59225718	59225823	+	84	NA	5' UTR (NM_001013843, exon 1 of 21)	promoter-TSS (NM_001013843)	82	NM_001013843	79811	Hs.512932	NM_017968	ENSG00000137776	SLTM	Met	SAFB-like, transcription modulator	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3515	chr2	233415399	233415499	+	84	NA	exon (NM_004846, exon 1 of 7)	promoter-TSS (NR_049797)	-149	NM_145702	200765	Hs.211823	NM_145702	ENSG00000221944	TIGD1	EEYORE	tigger transposable element derived 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1241	chr12	2910497	2910549	+	84	NA	intron (NM_002014, intron 9 of 9)	intron (NM_002014, intron 9 of 9)	6415	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FK506 binding protein 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4433	chr5	10407230	10407317	+	84	NA	exon (NM_001270661, exon 14 of 23)	exon (NM_001270661, exon 14 of 23)	34690	NR_102746	100505845	Hs.599395	NR_102746		ROPN1L-AS1	-	ROPN1L antisense RNA 1	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4423	chr5	10256090	10256251	+	84	NA	exon (NM_012073, exon 4 of 11)	exon (NM_012073, exon 4 of 11)	5521	NM_001306155	22948	Hs.1600	NM_012073	ENSG00000150753	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon	chaperonin containing TCP1, subunit 5 (epsilon)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4382	chr5	114950575	114950626	+	84	NA	3' UTR (NM_181836, exon 3 of 3)	3' UTR (NM_181836, exon 3 of 3)	11276	NM_181836	51014	Hs.642817	NM_181836	ENSG00000134970	TMED7	CGI-109|p24gamma3|p27	transmembrane p24 trafficking protein 7	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1043a	chr11	65192087	65192261	+	84	NA	non-coding (NR_131012, exon 1 of 1)	non-coding (NR_131012, exon 1 of 1)	1905	NR_131012	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_773	chr10	102107857	102107988	+	84	NA	exon (NM_005063, exon 2 of 6)	exon (NM_005063, exon 2 of 6)	1150	NM_005063	6319	Hs.558396	NM_005063	ENSG00000099194	SCD	FADS5|MSTP008|SCD1|SCDOS|hSCD1	stearoyl-CoA desaturase (delta-9-desaturase)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4908	chr6	166371047	166371105	+	84	NA	intron (NR_026860, intron 1 of 1)	MIRb|SINE|MIR	-29963	NR_027284	441177	Hs.708964	NM_001013720	ENSG00000281832	LINC00602	-	long intergenic non-protein coding RNA 602	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5178	chr7	6414124	6414210	+	84	NA	5' UTR (NM_006908, exon 1 of 6)	promoter-TSS (NM_006908)	41	NM_018890	5879	Hs.413812	NM_006908	ENSG00000136238	RAC1	MIG5|Rac-1|TC-25|p21-Rac1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3904	chr3	5024817	5024873	+	84	NA	exon (NM_003670, exon 5 of 5)	exon (NM_003670, exon 5 of 5)	-3199	NR_125916	100507582	Hs.434505	NR_037903	ENSG00000235831	BHLHE40-AS1	-	BHLHE40 antisense RNA 1	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2321	chr16	86609955	86610006	+	83	NA	Intergenic--13305	CpG	-2135	NM_005250	2300	Hs.533830	NM_005250	ENSG00000176678	FOXL1	FKH6|FKHL11|FREAC7	forkhead box L1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1679	chr13	98637686	98637771	+	83	NA	exon (NM_002271, exon 6 of 29)	exon (NM_002271, exon 6 of 29)	31799	NM_002271	3843	Hs.712598	NM_002271	ENSG00000065150	IPO5	IMB3|KPNB3|Pse1|RANBP5|imp5	importin 5	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3158	chr2	28974905	28975051	+	83	NA	5' UTR (NM_002709, exon 1 of 8)	5' UTR (NM_002709, exon 1 of 8)	352	NM_002709	5500	Hs.702907	NM_002709	ENSG00000213639	PPP1CB	HEL-S-80p|PP-1B|PP1B|PP1beta|PPP1CD	protein phosphatase 1, catalytic subunit, beta isozyme	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5453	chr7	150929596	150929666	+	83	NA	5' UTR (NM_019015, exon 1 of 4)	promoter-TSS (NM_019015)	56	NM_001284295	54480	Hs.647084	NM_019015	ENSG00000033100	CHPF2	CSGLCA-T|CSGlcAT|ChSy-3|chPF-2	chondroitin polymerizing factor 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_779	chr10	99446891	99446985	+	83	NA	5' UTR (NM_021732, exon 1 of 3)	promoter-TSS (NM_021732)	77	NM_021732	60370	Hs.23918	NM_021732	ENSG00000119986	AVPI1	PP5395|VIP32|VIT32	arginine vasopressin-induced 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_322c	chr1	145096411	145096607	+	83	NA	5' UTR (NM_004892, exon 1 of 6)	5' UTR (NM_004892, exon 1 of 6)	102	NM_004892	9554	Hs.632438	NM_004892		SEC22B	ERS-24|SEC22L1	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_92	chr1	25255154	25255206	+	83	NA	intron (NM_004350, intron 1 of 4)	intron (NM_004350, intron 1 of 4)	1590	NM_004350	864	Hs.170019	NM_004350	ENSG00000020633	RUNX3	AML2|CBFA3|PEBP2aC	runt-related transcription factor 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1839	chr14	102551602	102551653	+	83	NA	intron (NM_001017963, intron 5 of 11)	intron (NM_001017963, intron 5 of 11)	1885	NM_005348	3320	Hs.525600	NM_005348	ENSG00000080824	HSP90AA1	EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	heat shock protein 90kDa alpha (cytosolic), class A member 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3279	chr2	201726515	201726566	+	83	NA	non-coding (NR_027855, exon 2 of 12)	non-coding (NR_027855, exon 2 of 12)	2744	NM_001162407	1195	Hs.433732	NM_004071	ENSG00000013441	CLK1	CLK|CLK/STY|STY	CDC like kinase 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5485	chr8	15480603	15480753	+	83	NA	exon (NM_006765, exon 2 of 11)	exon (NM_006765, exon 2 of 11)	83082	NM_178234	7991	Hs.426324	NM_006765	ENSG00000104723	TUSC3	D8S1992|M33|MRT22|MRT7|N33|OST3A	tumor suppressor candidate 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1221	chr12	9102191	9102253	+	83	NA	5' UTR (NM_001207024, exon 1 of 5)	5' UTR (NM_001207024, exon 1 of 5)	135	NM_001207024	4074	Hs.134084	NM_002355	ENSG00000003056	M6PR	CD-MPR|MPR 46|MPR-46|MPR46|SMPR	mannose-6-phosphate receptor (cation dependent)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2289	chr17	4849135	4849224	+	83	NA	3' UTR (NM_005022, exon 3 of 3)	TTS (NM_015528)	3202	NM_005022	5216	Hs.494691	NM_005022	ENSG00000108518	PFN1	ALS18	profilin 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4746	chr5	154172297	154172365	+	83	NA	exon (NM_015315, exon 4 of 19)	exon (NM_015315, exon 4 of 19)	-36687	NR_039667	100616306		NR_039667	ENSG00000263361	MIR378H	-	microRNA 378h	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4154	chr4	159644463	159644558	+	82	NA	5' UTR (NM_005038, exon 1 of 10)	promoter-TSS (NM_005038)	42	NM_005038	5481	Hs.183958	NM_005038	ENSG00000171497	PPID	CYP-40|CYPD	peptidylprolyl isomerase D	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2011	chr15	83209141	83209199	+	82	NA	non-coding (NR_111943, exon 1 of 4).2	promoter-TSS (NR_111943).2	38	NR_111943	6218	Hs.433427	NM_001021	ENSG00000182774	RPS17	DBA4|RPS17L|RPS17L1|RPS17L2|S17	ribosomal protein S17	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2679	chr17	80193974	80194101	+	82	NA	exon (NM_001042423, exon 2 of 5)	promoter-TSS (NR_106845)	387	NM_001206952	9123	Hs.500761	NM_004207	ENSG00000141526	SLC16A3	MCT 3|MCT 4|MCT-3|MCT-4|MCT3|MCT4	solute carrier family 16 (monocarboxylate transporter), member 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1739	chr14	23299096	23299149	+	82	NA	5' UTR (NM_181306, exon 1 of 5)	promoter-TSS (NM_178336)	30	NM_178336	122704	Hs.355935	NM_178336	ENSG00000172590	MRPL52	-	mitochondrial ribosomal protein L52	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1012	chr11	62392834	62392924	+	82	NA	3' UTR (NM_198335, exon 25 of 25)	3' UTR (NM_198335, exon 25 of 25)	-3232	NM_001288722	26229	Hs.502759	NM_012200	ENSG00000149541	B3GAT3	GLCATI|glcUAT-I	beta-1,3-glucuronyltransferase 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_853	chr10	135122292	135122376	+	82	NA	5' UTR (NM_006659, exon 1 of 18)	promoter-TSS (NM_145806)	-59	NM_145806	118472	Hs.422113	NM_145806		ZNF511	-	zinc finger protein 511	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2293	chr16	71929411	71929487	+	82	NA	5' UTR (NM_014761, exon 1 of 10)	promoter-TSS (NM_014761)	53	NM_001270977	9798	Hs.232194	NM_014761	ENSG00000182149	IST1	OLC1	increased sodium tolerance 1 homolog (yeast)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1239	chr12	2904160	2904215	+	82	NA	5' UTR (NM_002014, exon 1 of 10)	promoter-TSS (NM_002014)	79	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FK506 binding protein 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2450	chr17	42143945	42144004	+	82	NA	5' UTR (NM_152344, exon 2 of 6)	5' UTR (NM_152344, exon 2 of 6)	1013	NM_152344	124801	Hs.355570	NM_152344	ENSG00000161654	LSM12	PNAS-135	LSM12 homolog	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4451	chr5	138533935	138533995	+	82	NA	5' UTR (NM_001037633, exon 1 of 11)	promoter-TSS (NM_001037633)	100	NM_022464	64374	Hs.483521	NM_022464	ENSG00000120725	SIL1	BAP|MSS|ULG5	SIL1 nucleotide exchange factor	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5283	chr7	74072058	74072142	+	82	NA	5' UTR (NM_001163636, exon 1 of 34)	5' UTR (NM_001163636, exon 1 of 34)	109	NM_033001	2969	Hs.647041	NM_001518	ENSG00000263001	GTF2I	BAP135|BTKAP1|DIWS|GTFII-I|IB291|SPIN|TFII-I|WBS|WBSCR6	general transcription factor IIi	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3853	chr22	41253155	41253227	+	82	NA	exon (NM_022098, exon 1 of 10)	promoter-TSS (NM_001278589)	106	NM_001204827	63929	Hs.529163	NM_022098	ENSG00000196236	XPNPEP3	APP3|ICP55|NPHPL1	X-prolyl aminopeptidase 3, mitochondrial	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5075	chr7	93633591	93633667	+	82	NA	5' UTR (NM_005868, exon 1 of 4)	promoter-TSS (NM_005868)	61	NM_005868	10282	Hs.489132	NM_005868	ENSG00000105829	BET1	HBET1	Bet1 golgi vesicular membrane trafficking protein	protein-coding
