PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1859	chr8	74205810	74205869	+	257	NA	5' UTR (NM_000971, exon 1 of 7)	promoter-TSS (NM_172037)	30	NM_000971	6129	Hs.421257	NM_000971	ENSG00000147604	RPL7	L7|humL7-1	ribosomal protein L7	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1594	chr5	180670309	180670379	+	257	NA	non-coding (NR_002591, exon 1 of 1)	promoter-TSS (NR_002591)	32	NR_002591	619570		NR_002591	ENSG00000264549	SNORD95	U95	small nucleolar RNA, C/D box 95	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_468	chr12	34358695	34358775	+	256	NA	Intergenic--10537	5S|rRNA|rRNA	183519	NM_032834	84920	Hs.102971	NM_032834	ENSG00000139133	ALG10	ALG10A|DIE2|KCR1	ALG10, alpha-1,2-glucosyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_899	chr17	61904805	61904878	+	256	NA	5' UTR (NM_002805, exon 1 of 12)	promoter-TSS (NM_001199163)	71	NM_002805	5705	Hs.79387	NM_002805	ENSG00000087191	PSMC5	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	proteasome 26S subunit, ATPase 5	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_561	chr13	41634864	41634944	+	256	NA	Intergenic	promoter-TSS (NM_007187)	-793	NM_007187	11193	Hs.411300	NM_007187	ENSG00000120688	WBP4	FBP21	WW domain binding protein 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_800	chr16	84296473	84296524	+	256	NA	Intergenic--13282	5S|rRNA|rRNA	-23142	NM_172347	93107	Hs.335877	NM_133490		KCNG4	KV6.3|KV6.4	potassium channel, voltage gated modifier subfamily G, member 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1337	chr3	53289842	53290038	+	253	NA	5' UTR (NM_001064, exon 1 of 14)	exon (NM_001064, exon 1 of 14)	190	NM_001064	7086	Hs.89643	NM_001064	ENSG00000163931	TKT	HEL-S-48|HEL107|TK|TKT1	transketolase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1499	chr5	37371135	37371206	+	252	NA	5' UTR (NM_153485, exon 1 of 35)	promoter-TSS (NM_153485)	58	NM_001278312	9631	Hs.547696	NM_004298	ENSG00000113569	NUP155	ATFB15|N155	nucleoporin 155kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_606	chr14	21081936	21082002	+	251	NA	Intergenic--11609	tRNA-Thr-ACA|tRNA|tRNA	-22987	NM_001024822	493901	Hs.729466	NM_001024822	ENSG00000258436	RNASE12	HEL-S-85p|RAI1	ribonuclease, RNase A family, 12 (non-active)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_176	chr1	202311011	202311063	+	251	NA	5' UTR (NM_014176, exon 1 of 7)	promoter-TSS (NM_014176)	57	NM_014176	29089	Hs.5199	NM_014176	ENSG00000077152	UBE2T	FANCT|HSPC150|PIG50	ubiquitin conjugating enzyme E2T	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_818	chr16	88878268	88878336	+	249	NA	5' UTR (NM_001030018, exon 1 of 5)	promoter-TSS (NM_001030018)	40	NM_000485	353	Hs.28914	NM_000485	ENSG00000198931	APRT	AMP|APRTD	adenine phosphoribosyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1063	chr2	10952780	10952865	+	248	NA	5' UTR (NM_001282707, exon 1 of 14)	exon (NM_005742, exon 1 of 13)	143	NM_005742	10130	Hs.212102	NM_005742	ENSG00000143870	PDIA6	ERP5|P5|TXNDC7	protein disulfide isomerase family A, member 6	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1140	chr2	131094681	131094757	+	248	NA	Intergenic	TTS (NM_032357)	5237	NM_032357	84317	Hs.104203	NM_032357	ENSG00000136710	CCDC115	ccp1	coiled-coil domain containing 115	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1086	chr2	38978410	38978503	+	247	NA	5' UTR (NM_001195446, exon 1 of 7)	5' UTR (NM_001195446, exon 1 of 7)	180	NM_001195446	6432	Hs.309090	NM_006276	ENSG00000115875	SRSF7	9G8|AAG3|SFRS7	serine/arginine-rich splicing factor 7	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1633	chr6	27860884	27860956	+	246	NA	5' UTR (NM_003514, exon 1 of 1)	promoter-TSS (NM_003514)	43	NM_003514	8336	Hs.134999	NM_003514	ENSG00000278677	HIST1H2AM	H2A.1|H2A/n|H2AFN|dJ193B12.1	histone cluster 1, H2am	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1104	chr2	27273703	27273757	+	246	NA	Intergenic	promoter-TSS (NM_021831)	-598	NR_046730	100874031	Hs.132725	NR_046730	ENSG00000231636	AGBL5-AS1	-	AGBL5 antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1203	chr2	203156058	203156142	+	244	NA	non-coding (NR_003694, exon 1 of 1)	promoter-TSS (NR_003694)	60	NR_003694	100113392	Hs.693442	NR_003694	ENSG00000271852	SNORD11B	-	small nucleolar RNA, C/D box 11B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1802	chr7	123197801	123197860	+	244	NA	5' UTR (NM_001282422, exon 1 of 4)	promoter-TSS (NM_001282421)	-5	NM_001282421	4698	Hs.651219	NM_005000	ENSG00000128609	NDUFA5	B13|CI-13KD-B|CI-13kB|NUFM|UQOR13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1922	chr9	2844027	2844095	+	244	NA	5' UTR (NM_014878, exon 1 of 18)	promoter-TSS (NM_014878)	69	NM_014878	9933	Hs.493309	NM_014878	ENSG00000080608	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5	pumilio RNA binding family member 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2079	chrX	49028233	49028308	+	244	NA	5' UTR (NM_002668, exon 1 of 5)	promoter-TSS (NM_002668)	86	NM_002668	5355	Hs.77422	NM_002668	ENSG00000102007	PLP2	A4|A4LSB	proteolipid protein 2 (colonic epithelium-enriched)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1076	chr2	27616395	27616444	+	243	NA	non-coding (NR_002201, exon 1 of 1)	promoter-TSS (NR_002201)	24	NR_002201	2498	Hs.658438	NR_002201		FTH1P3	FTHL3|FTHL3P	ferritin, heavy polypeptide 1 pseudogene 3	pseudo
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1180	chr2	182913549	182913610	+	242	NA	intron (NR_048566, intron 2 of 5)	5S|rRNA|rRNA	63028	NM_001261424	151242	Hs.10941	NM_001080545	ENSG00000150722	PPP1R1C	IPP5	protein phosphatase 1, regulatory (inhibitor) subunit 1C	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_516	chr12	90120711	90120769	+	242	NA	Intergenic--10883	5S|rRNA|rRNA	18008	NR_028138	338758	Hs.601766	NR_028138	ENSG00000271614	LINC00936	-	long intergenic non-protein coding RNA 936	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_946	chr18	41651558	41651609	+	242	NA	Intergenic--14353	5S|rRNA|rRNA	460079	NR_110792	101927921	Hs.464986	NR_110792	ENSG00000267337	LINC01478	-	long intergenic non-protein coding RNA 1478	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_699	chr15	89878339	89878390	+	242	NA	Intergenic	promoter-TSS (NM_002693)	-338	NM_001126131	5428	Hs.706868	NM_002693	ENSG00000140521	POLG	MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE	polymerase (DNA directed), gamma	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1452	chr3	150264578	150264632	+	242	NA	5' UTR (NM_032025, exon 1 of 14)	promoter-TSS (NM_032025)	31	NM_032025	83939	Hs.655782	NM_032025	ENSG00000144895	EIF2A	CDA02|EIF-2A|MST089|MSTP004|MSTP089	eukaryotic translation initiation factor 2A, 65kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1809	chr7	33217362	33217427	+	242	NA	intron (NM_014451, intron 5 of 20)	5S|rRNA|rRNA	48242	NM_014451	27241	Hs.372360	NM_014451	ENSG00000122507	BBS9	B1|C18|D1|PTHB1	Bardet-Biedl syndrome 9	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_109b	chr1	109642815	109643042	+	242	NA	non-coding (NR_003023, exon 1 of 1)	non-coding (NR_003023, exon 1 of 1)	113	NR_003023	677766	Hs.550815	NR_003023	ENSG00000270066	SCARNA2	HBII-382|mgU2-25/61	small Cajal body-specific RNA 2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_242	chr10	55654104	55654160	+	241	NA	intron (NM_001142769, intron 28 of 35)	5S|rRNA|rRNA	906919	NM_001142769	65217	Hs.280209	NM_033056	ENSG00000150275	PCDH15	CDHR15|DFNB23|USH1F	protocadherin-related 15	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_525	chr12	98909396	98909468	+	241	NA	5' UTR (NM_001032283, exon 1 of 9)	promoter-TSS (NM_001032283)	81	NM_001032283	7112	Hs.11355	NM_003276	ENSG00000120802	TMPO	CMD1T|LAP2|LEMD4|PRO0868|TP	thymopoietin	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1772	chr7	55110785	55110834	+	241	NA	intron (NM_005228, intron 1 of 27)	5S|rRNA|rRNA	24084	NM_201283	1956	Hs.488293	NM_005228	ENSG00000146648	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	epidermal growth factor receptor	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1853	chr8	67095732	67095782	+	241	NA	Intergenic--7456	U2|snRNA|snRNA	-4911	NM_000756	1392	Hs.75294	NM_000756	ENSG00000147571	CRH	CRF|CRH1	corticotropin releasing hormone	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1680	chr6	79944326	79944406	+	240	NA	5' UTR (NM_001201362, exon 1 of 5)	promoter-TSS (NM_001201362)	89	NM_001201362	9324	Hs.77558	NM_004242	ENSG00000118418	HMGN3	PNAS-24|PNAS-25|TRIP7	high mobility group nucleosomal binding domain 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_661	chr14	92587974	92588037	+	240	NA	exon (NM_004545, exon 1 of 3)	promoter-TSS (NM_017437)	148	NM_004545	4707	Hs.183435	NM_004545	ENSG00000183648	NDUFB1	CI-MNLL|CI-SGDH|MNLL	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1089	chr2	44223060	44223126	+	240	NA	5' UTR (NM_133259, exon 1 of 38)	promoter-TSS (NM_133259)	51	NM_133259	10128	Hs.368084	NM_133259	ENSG00000138095	LRPPRC	CLONE-23970|GP130|LRP130|LSFC	leucine-rich pentatricopeptide repeat containing	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_34	chr1	26232856	26232918	+	238	NA	5' UTR (NM_001145454, exon 1 of 5)	promoter-TSS (NM_203401)	58	NR_037481	100500808		NR_037481	ENSG00000264021	MIR3917	mir-3917	microRNA 3917	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_38	chr1	28906340	28906390	+	238	NA	non-coding (NR_002987, exon 1 of 1)	promoter-TSS (NR_002987)	40	NR_002987	677838	Hs.632377	NR_002987	ENSG00000278274	SNORA61	ACA61	small nucleolar RNA, H/ACA box 61	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1354	chr22	42017305	42017389	+	238	NA	5' UTR (NM_001469, exon 1 of 13)	promoter-TSS (NM_001288976)	1	NM_001288976	2547	Hs.292493	NM_001469	ENSG00000196419	XRCC6	CTC75|CTCBF|G22P1|KU70|ML8|TLAA	X-ray repair complementing defective repair in Chinese hamster cells 6	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_28	chr1	21835915	21836016	+	238	NA	5' UTR (NM_001177520, exon 1 of 10)	5' UTR (NM_001177520, exon 1 of 10)	107	NM_000478	249	Hs.75431	NM_000478	ENSG00000162551	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	alkaline phosphatase, liver/bone/kidney	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_378	chr11	66115624	66115689	+	237	NA	Intergenic	promoter-TSS (NM_006876)	-495	NM_006876	11041	Hs.8526	NM_006876	ENSG00000174684	B4GAT1	B3GN-T1|B3GNT1|B3GNT6|BETA3GNTI|MDDGA13|iGAT|iGNT	beta-1,4-glucuronyltransferase 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1638	chr6	28757533	28757582	+	237	NA	Intergenic--5560	tRNA-Ala-GCA|tRNA|tRNA	73897	NR_033379	401242	Hs.448285	NR_033379	ENSG00000225595	LINC01623	-	long intergenic non-protein coding RNA 1623	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1027	chr19	39902795	39902844	+	237	NA	Intergenic	promoter-TSS (NM_022835)	-931	NM_022835	64857	Hs.631574	NM_022835	ENSG00000090924	PLEKHG2	ARHGEF42|CLG	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1398	chr3	170587931	170587984	+	237	NA	5' UTR (NM_001099645, exon 1 of 4)	promoter-TSS (NM_001099645)	88	NM_001099645	200916	Hs.380933	NM_001099645	ENSG00000163584	RPL22L1	-	ribosomal protein L22-like 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_217	chr10	5855332	5855393	+	236	NA	5' UTR (NM_001115156, exon 1 of 10)	5' UTR (NM_001115156, exon 1 of 10)	150	NM_001115156	2665	Hs.299055	NM_001494	ENSG00000057608	GDI2	HEL-S-46e|RABGDIB	GDP dissociation inhibitor 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_2089	chrX	70516809	70516933	+	235	NA	exon (NM_007363, exon 7 of 12)	exon (NM_007363, exon 7 of 12)	-4727	NM_012278	26548	Hs.109999	NM_012278	ENSG00000147166	ITGB1BP2	CHORDC3|ITGB1BP|MELUSIN|MSTP015	integrin beta 1 binding protein (melusin) 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_783	chr16	85833299	85833375	+	234	NA	5' UTR (NM_001861, exon 1 of 5)	promoter-TSS (NM_001142288)	164	NM_001861	1327	Hs.433419	NM_001861	ENSG00000131143	COX4I1	COX4|COX4-1|COXIV	cytochrome c oxidase subunit IV isoform 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_337	chr11	57529304	57529384	+	234	NA	5' UTR (NM_001085463, exon 1 of 19)	5' UTR (NM_001085463, exon 1 of 19)	110	NM_001085458	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin (cadherin-associated protein), delta 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_838	chr17	5342355	5342461	+	234	NA	5' UTR (NM_001212, exon 1 of 6)	promoter-TSS (NM_001212)	63	NM_001212	708	Hs.555866	NM_001212	ENSG00000108561	C1QBP	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	complement component 1, q subcomponent binding protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1665	chr6	42981608	42981661	+	233	NA	Intergenic	promoter-TSS (NM_057161)	-16	NM_014623	4201	Hs.278362	NM_014623		MEA1	HYS|MEA	male-enhanced antigen 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1573	chr5	74063066	74063136	+	233	NA	5' UTR (NM_170681, exon 1 of 15)	promoter-TSS (NM_170681)	95	NR_104006	84340	Hs.277154	NM_032380	ENSG00000164347	GFM2	EF-G2mt|EFG2|MRRF2|MST027|MSTP027|RRF2|RRF2mt|hEFG2|mEF-G 2	G elongation factor, mitochondrial 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1020	chr19	24184098	24184170	+	233	NA	Intergenic--14952	LSU-rRNA_Hsa|rRNA|rRNA	-32073	NM_001278661	9534	Hs.434406	NM_004876	ENSG00000213096	ZNF254	BMZF-5|HD-ZNF1|ZNF539|ZNF91L	zinc finger protein 254	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_333	chr11	47447727	47447801	+	233	NA	exon (NM_002804, exon 1 of 12)	exon (NM_002804, exon 1 of 12)	260	NM_002804	5702	Hs.250758	NM_002804	ENSG00000165916	PSMC3	TBP1	proteasome 26S subunit, ATPase 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_375	chr11	65729201	65729257	+	231	NA	5' UTR (NM_005146, exon 1 of 20)	promoter-TSS (NM_005146)	69	NM_005146	9092	Hs.502883	NM_005146	ENSG00000175467	SART1	Ara1|HOMS1|SART1259|SNRNP110|Snu66	squamous cell carcinoma antigen recognized by T-cells 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1362	chr22	45898764	45898825	+	231	NA	5' UTR (NM_001996, exon 1 of 15)	promoter-TSS (NM_001996)	75	NM_006486	2192	Hs.24601	NM_001996	ENSG00000077942	FBLN1	FBLN|FIBL1	fibulin 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1748	chr7	22862371	22862465	+	231	NA	5' UTR (NM_019059, exon 1 of 3)	promoter-TSS (NM_019059)	53	NM_019059	54543	Hs.112318	NM_019059	ENSG00000196683	TOMM7	TOM7	translocase of outer mitochondrial membrane 7 homolog (yeast)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_2068	chrX	153586554	153586614	+	231	NA	exon (NM_001110556, exon 28 of 48)	exon (NM_001110556, exon 28 of 48)	16422	NM_001456	2316	Hs.195464	NM_001456	ENSG00000196924	FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	filamin A, alpha	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_593	chr13	113951557	113951667	+	231	NA	5' UTR (NM_005561, exon 1 of 9)	5' UTR (NM_005561, exon 1 of 9)	143	NM_005561	3916	Hs.494419	NM_005561	ENSG00000185896	LAMP1	CD107a|LAMPA|LGP120	lysosomal-associated membrane protein 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_820	chr17	16344552	16344620	+	230	NA	non-coding (NR_003054, exon 1 of 1)	promoter-TSS (NR_003054)	46	NR_003054	692106		NR_003054	ENSG00000277512	SNORD65	HBII-135	small nucleolar RNA, C/D box 65	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_952	chr18	66526171	66526274	+	229	NA	intron (NM_024781, intron 4 of 7)	U6|snRNA|snRNA	60905	NM_024781	79839	Hs.280781	NM_024781	ENSG00000150636	CCDC102B	ACY1L|AN|C18orf14|HsT1731	coiled-coil domain containing 102B	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1195	chr2	232326388	232326497	+	226	NA	exon (NM_005381, exon 3 of 14)	exon (NM_005381, exon 3 of 14)	-1289	NR_004398	25826		NR_004398	ENSG00000202400	SNORD82	RNU82|U82|Z25	small nucleolar RNA, C/D box 82	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_61	chr1	40506411	40506495	+	226	NA	5' UTR (NM_006367, exon 1 of 13)	5' UTR (NM_006367, exon 1 of 13)	198	NM_006367	10487	Hs.370581	NM_006367	ENSG00000131236	CAP1	CAP|CAP1-PEN	CAP, adenylate cyclase-associated protein 1 (yeast)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_688	chr15	40331266	40331362	+	225	NA	5' UTR (NM_003134, exon 1 of 5)	promoter-TSS (NM_003134)	89	NM_001309434	6727	Hs.533732	NM_003134	ENSG00000140319	SRP14	ALURBP	signal recognition particle 14kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_412	chr11	111799130	111799184	+	223	NA	intron (NM_001278542, intron 1 of 5)	5S|rRNA|rRNA	1289	NM_001278542	85458	Hs.655626	NM_033425	ENSG00000150764	DIXDC1	CCD1	DIX domain containing 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_613	chr14	22069934	22070018	+	223	NA	Intergenic--11627	5S|rRNA|rRNA	-31101	NM_001005465	26533	Hs.554581	NM_001005465	ENSG00000169208	OR10G3	OR14-40	olfactory receptor, family 10, subfamily G, member 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1736a	chr7	5567355	5567501	+	223	NA	exon (NM_001101, exon 6 of 6)	exon (NM_001101, exon 6 of 6)	2804	NM_001101	60	Hs.520640	NM_001101	ENSG00000075624	ACTB	BRWS1|PS1TP5BP1	actin, beta	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1313	chr3	44364137	44364187	+	223	NA	intron (NM_001145030, intron 17 of 19)	5S|rRNA|rRNA	-15449	NM_001282913	285343	Hs.55131	NM_173826	ENSG00000179152	TCAIM	C3orf23|TOAG-1|TOAG1	T cell activation inhibitor, mitochondrial	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_886	chr17	51183637	51183709	+	223	NA	Intergenic--13958	Intergenic	120793	NM_001243552	100506650	Hs.146556	NM_001243552		C17orf112	-	chromosome 17 open reading frame 112	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1210	chr2	212400378	212400463	+	223	NA	intron (NM_005235, intron 20 of 27)	5S|rRNA|rRNA	890664	NR_031643	100313771		NR_031643	ENSG00000221782	MIR548F2	MIR548F-2|MIRN548F2|hsa-mir-548f-2	microRNA 548f-2	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_618	chr14	24701479	24701569	+	222	NA	5' UTR (NM_006156, exon 1 of 4)	promoter-TSS (NM_006156)	52	NM_001199823	100528064	Hs.220963	NM_001199823	ENSG00000255526	NEDD8-MDP1	-	NEDD8-MDP1 readthrough	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1255	chr20	31407759	31407829	+	222	NA	5' UTR (NM_012325, exon 1 of 7)	promoter-TSS (NM_012325)	95	NM_012325	22919	Hs.472437	NM_012325	ENSG00000101367	MAPRE1	EB1	microtubule-associated protein, RP/EB family, member 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1731b	chr6	44218036	44218182	+	221	NA	exon (NM_007355, exon 6 of 12)	exon (NM_007355, exon 6 of 12)	3414	NM_001271969	3326	Hs.509736	NM_007355	ENSG00000096384	HSP90AB1	D6S182|HSP84|HSP90B|HSPC2|HSPCB	heat shock protein 90kDa alpha (cytosolic), class B member 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1220	chr20	37053897	37053980	+	221	NA	non-coding (NR_002910, exon 1 of 1)	promoter-TSS (NR_002910)	40	NR_002910	26776	Hs.400876	NR_002910	ENSG00000235408	SNORA71B	RNU71B|U71b	small nucleolar RNA, H/ACA box 71B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_fstrand_peak_1546	chr5	17217891	17217952	+	221	NA	5' UTR (NM_006317, exon 1 of 2)	promoter-TSS (NR_027253)	251	NM_006317	10409	Hs.201641	NM_006317	ENSG00000176788	BASP1	CAP-23|CAP23|NAP-22|NAP22	brain abundant, membrane attached signal protein 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_1_rstrand_peak_1909	chr8	144679527	144679580	+	221	NA	5' UTR (NM_001289950, exon 1 of 8)	promoter-TSS (NM_032862)	5	NM_001130057	1936	Hs.333388	NM_001960	ENSG00000104529	EEF1D	EF-1D|EF1D|FP1047	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	protein-coding
