PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_rstrand_peak_4264	chr9	101908198	101908247	+	78	NA	intron (NM_001130916, intron 5 of 7)	5S|rRNA|rRNA	40851	NM_001130916	7046	Hs.494622	NM_004612	ENSG00000106799	TGFBR1	AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I	transforming growth factor, beta receptor 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3962	chr7	2913751	2913825	+	78	NA	Intergenic--6313	Intergenic	-29829	NM_007353	2768	Hs.487341	NM_007353	ENSG00000146535	GNA12	NNX3|RMP|gep	guanine nucleotide binding protein (G protein) alpha 12	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1729	chr16	70886600	70886649	+	78	NA	intron (NM_001270974, intron 73 of 85)	intron (NM_001270974, intron 73 of 85)	-51563	NM_018052	55697	Hs.445061	NM_018052	ENSG00000103043	VAC14	ArPIKfyve|TAX1BP2|TRX	Vac14 homolog (S. cerevisiae)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2110	chr19	12754693	12754770	+	78	NA	Intergenic--14766	Intergenic	22860	NM_001173498	4125	Hs.356769	NM_000528	ENSG00000104774	MAN2B1	LAMAN|MANB	mannosidase, alpha, class 2B, member 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3932	chr6	151247391	151247464	+	78	NA	exon (NM_001242767, exon 11 of 28)	exon (NM_001242767, exon 11 of 28)	59958	NM_001242768	25902	Hs.591343	NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2341	chr2	73964406	73964460	+	78	NA	5' UTR (NM_016058, exon 1 of 5)	promoter-TSS (NM_016058)	84	NM_016058	51002	Hs.157401	NM_016058	ENSG00000144034	TPRKB	CGI-121	TP53RK binding protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3143	chr5	1799897	1799949	+	78	NA	5' UTR (NM_032479, exon 1 of 2)	promoter-TSS (NM_032479)	33	NM_032479	64979	Hs.719465	NM_032479	ENSG00000171421	MRPL36	BRIP1|L36mt|MRP-L36|PRPL36|RPMJ	mitochondrial ribosomal protein L36	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3168	chr5	18150769	18150825	+	78	NA	Intergenic--4619	Intergenic	-763378	NR_033975	401177	Hs.508311	NR_033975	ENSG00000250822	LOC401177	-	uncharacterized LOC401177	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_4052	chr8	98781894	98781944	+	78	NA	Intergenic--7596	AluSx1|SINE|Alu	-5890	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_218	chr1	116915865	116915938	+	78	NA	5' UTR (NM_000701, exon 1 of 23)	promoter-TSS (NM_001160233)	106	NM_000701	476	Hs.371889	NM_000701	ENSG00000163399	ATP1A1	-	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2645	chr2	192542862	192542915	+	78	NA	5' UTR (NM_001031716, exon 1 of 6)	promoter-TSS (NM_001031716)	26	NR_045623	64859	Hs.591610	NM_022837		NABP1	OBFC2A|SOSS-B2|SSB2	nucleic acid binding protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3072	chr4	90749268	90749321	+	78	NA	exon (NM_001146055, exon 3 of 6)	exon (NM_001146055, exon 3 of 6)	-8258	NR_045481	644248	Hs.553954	NR_045481	ENSG00000247775	SNCA-AS1	-	SNCA antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4270	chr8	70795780	70795829	+	78	NA	Intergenic--7473	U2|snRNA|snRNA	-48505	NM_030958	81796	Hs.152460	NM_030958	ENSG00000137571	SLCO5A1	OATP-J|OATP-RP4|OATP5A1|OATPJ|OATPRP4|SLC21A15	solute carrier organic anion transporter family, member 5A1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3365	chr4	155216659	155216708	+	78	NA	intron (NM_017639, intron 18 of 24)	intron (NM_017639, intron 18 of 24)	95766	NM_017639	54798	Hs.655664	NM_017639	ENSG00000197410	DCHS2	CDH27|CDHJ|CDHR7|PCDH23|PCDHJ	dachsous cadherin-related 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2420	chr2	150222201	150222264	+	78	NA	intron (NM_194317, intron 1 of 4)	U2|snRNA|snRNA	35203	NM_194317	130574	Hs.21929	NM_194317	ENSG00000187123	LYPD6	-	LY6/PLAUR domain containing 6	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2099	chr19	10514101	10514208	+	78	NA	non-coding (NR_031592, exon 1 of 1)	promoter-TSS (NR_031592)	60	NR_031592	100302213		NR_031592	ENSG00000221566	MIR1181	MIRN1181|hsa-mir-1181	microRNA 1181	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1790	chr17	25911207	25911259	+	78	NA	intron (NM_014238, intron 5 of 20)	U2|snRNA|snRNA	-46941	NR_024043	3965	Hs.81337	NM_002308	ENSG00000168961	LGALS9	HUAT|LGALS9A	lectin, galactoside-binding, soluble, 9	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4031	chr7	68527610	68527673	+	78	NA	Intergenic--6618	LSU-rRNA_Hsa|rRNA|rRNA	534840	NR_108105	100507468	Hs.362492	NR_108105		LOC100507468	-	uncharacterized LOC100507468	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_4056	chr8	100508098	100508148	+	78	NA	intron (NM_152564, intron 25 of 61)	intron (NM_152564, intron 25 of 61)	40835	NR_030329	693184		NR_030329	ENSG00000207804	MIR599	MIRN599|hsa-mir-599	microRNA 599	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2184	chr19	41748126	41748175	+	78	NA	intron (NM_001278599, intron 7 of 16)	tRNA-Lys-AAA|tRNA|tRNA	15490	NM_001278599	558	Hs.590970	NM_001699	ENSG00000167601	AXL	ARK|JTK11|Tyro7|UFO	AXL receptor tyrosine kinase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2990	chr4	4922743	4922792	+	78	NA	non-coding (NR_125893, exon 1 of 3)	non-coding (NR_125893, exon 1 of 3)	232	NR_125893	101928306	Hs.543743	NR_125893		LOC101928306	-	uncharacterized LOC101928306	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4514	chr9	135894809	135894858	+	78	NA	Intergenic	promoter-TSS (NR_132980)	-984	NR_132981	106635684		NR_132981		SNORD141B	-	small nucleolar RNA, C/D box 141B	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_777	chr11	62638252	62638308	+	78	NA	exon (NM_002394, exon 2 of 12)	exon (NM_002394, exon 2 of 12)	-10064	NM_001013251	6520	Hs.502769	NM_002394	ENSG00000168003	SLC3A2	4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE	solute carrier family 3 (amino acid transporter heavy chain), member 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2685	chr22	24110079	24110146	+	78	NA	5' UTR (NM_213720, exon 1 of 4)	promoter-TSS (NM_213720)	47	NM_001301339	400916	Hs.66915	NM_213720	ENSG00000250479	CHCHD10	C22orf16|FTDALS2|IMMD|N27C7-4|SMAJ	coiled-coil-helix-coiled-coil-helix domain containing 10	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1329	chr14	55658209	55658297	+	78	NA	5' UTR (NM_001146015, exon 1 of 20)	5' UTR (NM_001146015, exon 1 of 20)	143	NM_014750	9787	Hs.77695	NM_014750	ENSG00000126787	DLGAP5	DLG7|HURP	discs, large (Drosophila) homolog-associated protein 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3909	chr7	129592707	129592781	+	78	NA	5' UTR (NM_001202498, exon 1 of 7)	promoter-TSS (NM_001202498)	39	NM_001202498	7328	Hs.643548	NM_003344	ENSG00000186591	UBE2H	E2-20K|GID3|UBC8|UBCH|UBCH2	ubiquitin conjugating enzyme E2H	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3015	chr3	1516623	1516685	+	78	NA	Intergenic--2870	L1PB|LINE|L1	382312	NM_001289080	27255	Hs.387300	NM_014461	ENSG00000134115	CNTN6	NB3	contactin 6	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3264	chr5	80112402	80112452	+	78	NA	intron (NM_002439, intron 20 of 23)	L2c|LINE|L2	-144081	NM_006909	5924	Hs.162129	NM_006909	ENSG00000113319	RASGRF2	GRF2|RAS-GRF2	Ras protein-specific guanine nucleotide-releasing factor 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1558	chr16	1104939	1104988	+	78	NA	Intergenic--12696	Intergenic	-17793	NM_001172560	6755	Hs.449840	NM_001053		SSTR5	SS-5-R	somatostatin receptor 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_567	chr10	71930141	71930268	+	78	NA	5' UTR (NM_001142648, exon 1 of 8)	promoter-TSS (NM_001142648)	81	NM_001142648	56681	Hs.499960	NM_020150	ENSG00000079332	SAR1A	SAR1|SARA1|Sara|masra2	secretion associated, Ras related GTPase 1A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4200	chr9	33139363	33139421	+	78	NA	intron (NM_001497, intron 1 of 5)	intron (NM_001497, intron 1 of 5)	-27554	NR_108109	101929639	Hs.545818	NR_108108	ENSG00000233554	B4GALT1-AS1	-	B4GALT1 antisense RNA 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_866	chr11	75248630	75248679	+	78	NA	Intergenic--9967	Intergenic	-12055	NM_030792	81544	Hs.503297	NM_030792	ENSG00000158555	GDPD5	GDE2|PP1665	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1197	chr13	37573430	37573485	+	78	NA	5' UTR (NM_001142364, exon 1 of 9)	promoter-TSS (NM_001142364)	47	NM_001142364	29880	Hs.507769	NM_013338	ENSG00000120697	ALG5	bA421P11.2	ALG5, dolichyl-phosphate beta-glucosyltransferase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1679	chr16	83811504	83811572	+	78	NA	intron (NM_001220488, intron 12 of 14)	U2|snRNA|snRNA	26043	NR_120308	102724163		NR_120308	ENSG00000260228	LOC102724163	-	uncharacterized LOC102724163	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_960	chr12	6862204	6862280	+	78	NA	non-coding (NR_026581, exon 1 of 9)	promoter-TSS (NM_005439)	-160	NM_005439	8079	Hs.524214	NM_005439	ENSG00000089693	MLF2	NTN4	myeloid leukemia factor 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_354	chr1	162422699	162422767	+	78	NA	Intergenic--1190	L1PA4|LINE|L1	-40805	NM_053282	117157	Hs.350581	NM_053282	ENSG00000198574	SH2D1B	EAT2	SH2 domain containing 1B	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4540	chr9	138392524	138392602	+	78	NA	exon (NM_016034, exon 1 of 4)	promoter-TSS (NM_144654)	86	NR_051968	51116	Hs.382044	NM_016034	ENSG00000122140	MRPS2	CGI-91|MRP-S2|S2mt	mitochondrial ribosomal protein S2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3557	chr6	69375056	69375138	+	78	NA	intron (NM_001704, intron 3 of 31)	U3|snRNA|snRNA	29465	NM_001704	577	Hs.13261	NM_001704	ENSG00000135298	ADGRB3	BAI3	adhesion G protein-coupled receptor B3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3933	chr6	151640835	151640884	+	78	NA	intron (NM_005100, intron 3 of 4)	7SK|RNA|RNA	-5807	NM_144497	9590	Hs.371240	NM_005100	ENSG00000131016	AKAP12	AKAP250|SSeCKS	A kinase (PRKA) anchor protein 12	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4220	chr8	29952960	29953015	+	78	NA	5' UTR (NM_015344, exon 1 of 4)	promoter-TSS (NM_015344)	65	NM_001128208	23484	Hs.146585	NM_015344	ENSG00000104660	LEPROTL1	HSPC112|Vps55|my047	leptin receptor overlapping transcript-like 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_642	chr10	126490386	126490442	+	78	NA	exon (NM_032182, exon 1 of 9)	promoter-TSS (NM_032182)	60	NM_032182	23172	Hs.280695	NM_032182	ENSG00000165660	FAM175B	ABRO1|KIAA0157	family with sequence similarity 175, member B	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1513	chr15	63334954	63335134	+	78	NA	exon (NM_000366, exon 1 of 10)	exon (NM_000366, exon 1 of 10)	206	NM_001018020	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1 (alpha)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2593	chr20	43127911	43127973	+	78	NA	3' UTR (NM_006811, exon 10 of 10)	TTS (NM_006811)	22784	NM_006811	10955	Hs.272168	NM_006811	ENSG00000132824	SERINC3	AIGP1|DIFF33|SBBI99|TDE|TDE1|TMS-1	serine incorporator 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1627	chr16	30457145	30457194	+	78	NA	5' UTR (NM_012248, exon 1 of 1)	5' UTR (NM_012248, exon 1 of 1)	127	NM_012248	22928	Hs.118725	NM_012248	ENSG00000179918	SEPHS2	SPS2|SPS2b	selenophosphate synthetase 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_577	chr10	96306164	96306250	+	78	NA	5' UTR (NM_001289075, exon 2 of 21)	exon (NM_001289070, exon 2 of 20)	683	NM_001289069	3070	Hs.655830	NM_018063	ENSG00000119969	HELLS	LSH|Nbla10143|PASG|SMARCA6	helicase, lymphoid-specific	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1683	chr16	34969279	34969328	+	78	NA	Intergenic--13037	5S|rRNA|rRNA	-11620	NR_033985	400533	Hs.499135	NR_033985	ENSG00000261122	FLJ26245	-	uncharacterized LOC400533	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3203	chr5	40798158	40798273	+	78	NA	exon (NM_206907, exon 1 of 10)	promoter-TSS (NM_206907)	82	NM_206907	5562	Hs.43322	NM_006251	ENSG00000132356	PRKAA1	AMPK|AMPKa1	protein kinase, AMP-activated, alpha 1 catalytic subunit	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3464	chr6	27763634	27763716	+	78	NA	Intergenic--5534	tRNA-Gln-CAA|tRNA|tRNA	12034	NM_003519	8340	Hs.137594	NM_003519	ENSG00000185130	HIST1H2BL	H2B/c|H2BFC|dJ97D16.4	histone cluster 1, H2bl	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3874	chr6	106281056	106281105	+	78	NA	Intergenic--5985	AluSx|SINE|Alu	-253115	NM_001198	639	Hs.436023	NM_001198	ENSG00000057657	PRDM1	BLIMP1|PRDI-BF1	PR domain containing 1, with ZNF domain	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_365	chr1	171966680	171966730	+	78	NA	intron (NM_001278252, intron 4 of 14)	intron (NM_001278252, intron 4 of 14)	133373	NR_046845	100874284		NR_046845	ENSG00000233540	DNM3-IT1	-	DNM3 intronic transcript 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2520	chr2	77000072	77000132	+	78	NA	intron (NM_001134745, intron 3 of 3)	5S|rRNA|rRNA	-212989	NR_110284	101927907	Hs.382185	NR_110284	ENSG00000234653	LOC101927907	-	uncharacterized LOC101927907	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3885	chr7	107626591	107626662	+	78	NA	exon (NM_002291, exon 6 of 34)	exon (NM_002291, exon 6 of 34)	17178	NM_002291	3912	Hs.650585	NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin, beta 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1293	chr13	110959630	110959714	+	78	NA	5' UTR (NM_001846, exon 1 of 48)	promoter-TSS (NM_001845)	41	NM_001846	1284	Hs.508716	NM_001846	ENSG00000134871	COL4A2	ICH|POREN2	collagen, type IV, alpha 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4004	chr8	49508463	49508512	+	78	NA	intron (NR_105002, intron 2 of 3)	intron (NR_105002, intron 2 of 3)	-24476	NR_105004	101929217	Hs.547790	NR_105004	ENSG00000253455	LOC101929217	-	uncharacterized LOC101929217	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2083	chr19	6393109	6393172	+	78	NA	5' UTR (NM_002096, exon 1 of 13)	promoter-TSS (NR_106848)	-146	NR_106848	102465473		NR_106848	ENSG00000273758	MIR6790	hsa-mir-6790	microRNA 6790	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3525	chr5	83611423	83611477	+	78	NA	intron (NM_001278642, intron 1 of 9)	U3|snRNA|snRNA	69235	NM_005711	10085	Hs.482730	NM_005711	ENSG00000164176	EDIL3	DEL1	EGF-like repeats and discoidin I-like domains 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_408	chr1	218728954	218729003	+	78	NA	intron (NR_031644, intron 2 of 6)	U3|snRNA|snRNA	113010	NR_125715	103611157	Hs.133379	NR_125715	ENSG00000281453	TGFB2-OT1	-	TGFB2 overlapping transcript 1	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_425	chr1	205698682	205698733	+	78	NA	exon (NM_022731, exon 2 of 7)	exon (NM_022731, exon 2 of 7)	20665	NM_022731	64710	Hs.213061	NM_022731	ENSG00000069275	NUCKS1	JC7|NUCKS	nuclear casein kinase and cyclin-dependent kinase substrate 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2222	chr19	52425384	52425434	+	78	NA	Intergenic--15407	tRNA-Lys-AAG|tRNA|tRNA	-5279	NM_024840	79898	Hs.183390	NM_024840	ENSG00000176024	ZNF613	-	zinc finger protein 613	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3243	chr5	65521676	65521741	+	78	NA	Intergenic--4761	U2|snRNA|snRNA	81045	NM_139168	140890	Hs.49367	NM_139168	ENSG00000153914	SREK1	SFRS12|SRrp508|SRrp86	splicing regulatory glutamine/lysine-rich protein 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4157	chr7	148680846	148680897	+	78	NA	Intergenic--7050	HY3|scRNA|scRNA	-3748	NR_130107	102723099	Hs.621982	NR_130107	ENSG00000281189	GHET1	lncRNA-GHET1	gastric carcinoma proliferation enhancing transcript 1	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4014	chr7	43798293	43798356	+	78	NA	5' UTR (NM_000712, exon 1 of 8)	promoter-TSS (NM_000712)	52	NM_001253823	644	Hs.488143	NM_000712	ENSG00000106605	BLVRA	BLVR|BVR|BVRA	biliverdin reductase A	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1754	chr16	85834833	85834895	+	77	NA	exon (NM_001861, exon 2 of 5)	exon (NM_001861, exon 2 of 5)	1691	NM_001861	1327	Hs.433419	NM_001861	ENSG00000131143	COX4I1	COX4|COX4-1|COXIV	cytochrome c oxidase subunit IV isoform 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3569	chr5	126112852	126112947	+	77	NA	5' UTR (NM_001198557, exon 1 of 11)	promoter-TSS (NM_001198557)	54	NM_001198557	4001	Hs.89497	NM_005573	ENSG00000113368	LMNB1	ADLD|LMN|LMN2|LMNB	lamin B1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4120	chr7	128407524	128407608	+	77	NA	exon (NM_001219, exon 6 of 7)	exon (NM_001219, exon 6 of 7)	8278	NM_001708	611	Hs.656404	NM_001708	ENSG00000128617	OPN1SW	BCP|BOP|CBT	opsin 1 (cone pigments), short-wave-sensitive	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_808b	chr11	65192529	65192710	+	77	NA	non-coding (NR_131012, exon 1 of 1)	non-coding (NR_131012, exon 1 of 1)	2350	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2435	chr2	28615740	28615812	+	77	NA	intron (NR_103831, intron 1 of 1)	promoter-TSS (NM_005253)	-3	NM_005253	2355	Hs.220971	NM_005253	ENSG00000075426	FOSL2	FRA2	FOS-like antigen 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1383	chr14	92413647	92413754	+	77	NA	5' UTR (NM_006329, exon 1 of 11)	5' UTR (NM_006329, exon 1 of 11)	346	NM_006329	10516	Hs.332708	NM_006329	ENSG00000140092	FBLN5	ADCL2|ARCL1A|ARMD3|DANCE|EVEC|FIBL-5|UP50	fibulin 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1069	chr12	57039688	57039770	+	77	NA	exon (NM_001686, exon 1 of 10)	promoter-TSS (NR_002737)	123	NM_001686	506	Hs.406510	NM_001686	ENSG00000110955	ATP5B	ATPMB|ATPSB|HEL-S-271	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4275	chr9	113013594	113013675	+	77	NA	intron (NM_003329, intron 2 of 4)	intron (NM_003329, intron 2 of 4)	5286	NM_001244938	7295	Hs.435136	NM_003329	ENSG00000136810	TXN	TRDX|TRX|TRX1	thioredoxin	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1979a	chr17	57785011	57785133	+	77	NA	5' UTR (NM_030938, exon 1 of 12)	promoter-TSS (NM_001015509)	-113	NM_016077	51651	Hs.12677	NM_016077	ENSG00000141378	PTRH2	BIT1|CFAP37|CGI-147|IMNEPD|PTH|PTH 2|PTH2	peptidyl-tRNA hydrolase 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3211	chr5	43298715	43298772	+	77	NA	exon (NM_001098272, exon 3 of 11)	exon (NM_001098272, exon 3 of 11)	14871	NM_002130	3157	Hs.397729	NM_002130	ENSG00000112972	HMGCS1	HMGCS	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_149	chr1	45980178	45980280	+	77	NA	exon (NM_001202431, exon 5 of 6)	exon (NM_001202431, exon 5 of 6)	7381	NM_181697	5052	Hs.180909	NM_002574	ENSG00000117450	PRDX1	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	peroxiredoxin 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_677	chr11	3013464	3013530	+	77	NA	5' UTR (NM_005969, exon 1 of 16)	5' UTR (NM_005969, exon 1 of 16)	110	NM_005969	4676	Hs.731784	NM_005969	ENSG00000205531	NAP1L4	NAP1L4b|NAP2|NAP2L|hNAP2	nucleosome assembly protein 1-like 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2128	chr19	14201471	14201540	+	77	NA	Intergenic	promoter-TSS (NM_138352)	-273	NM_138352	90378	Hs.140309	NM_138352		SAMD1	-	sterile alpha motif domain containing 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2632	chr21	27253644	27253709	+	77	NA	3' UTR (NM_001136129, exon 15 of 15)	3' UTR (NM_001136129, exon 15 of 15)	-145711	NM_001003701	522	Hs.246310	NM_001685	ENSG00000154723	ATP5J	ATP5|ATP5A|ATPM|CF6|F6	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2201	chr19	12902795	12902844	+	77	NA	exon (NM_002229, exon 1 of 1)	exon (NM_002229, exon 1 of 1)	509	NM_002229	3726	Hs.25292	NM_002229	ENSG00000171223	JUNB	AP-1	jun B proto-oncogene	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1705	chr16	89348574	89348625	+	77	NA	exon (NM_013275, exon 9 of 13)	exon (NM_013275, exon 9 of 13)	-38942	NM_001242885	100287036	Hs.656995	NM_001242885		LOC100287036	-	uncharacterized LOC100287036	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3731	chr7	5568283	5568332	+	77	NA	exon (NM_001101, exon 4 of 6)	exon (NM_001101, exon 4 of 6)	1925	NM_001101	60	Hs.520640	NM_001101	ENSG00000075624	ACTB	BRWS1|PS1TP5BP1	actin, beta	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1979b	chr17	57785011	57785133	+	77	NA	5' UTR (NM_030938, exon 1 of 12)	promoter-TSS (NM_001015509)	-113	NM_016077	51651	Hs.12677	NM_016077	ENSG00000141378	PTRH2	BIT1|CFAP37|CGI-147|IMNEPD|PTH|PTH 2|PTH2	peptidyl-tRNA hydrolase 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_254	chr1	151239742	151239799	+	77	NA	exon (NM_002810, exon 10 of 10)	exon (NM_002810, exon 10 of 10)	12573	NM_002810	5710	Hs.505059	NM_002810	ENSG00000159352	PSMD4	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	proteasome 26S subunit, non-ATPase 4	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4051	chr7	76181542	76181608	+	77	NA	intron (NR_029411, intron 2 of 2)	MSTA|LTR|ERVL-MaLR	2917	NR_029411	100133091	Hs.712837	NR_029411	ENSG00000205485	LOC100133091	-	uncharacterized LOC100133091	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2061	chr18	3450173	3450224	+	77	NA	5' UTR (NM_003244, exon 1 of 3)	promoter-TSS (NM_003244)	28	NM_003244	7050	Hs.373550	NM_003244	ENSG00000177426	TGIF1	HPE4|TGIF	TGFB-induced factor homeobox 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_162	chr1	70703198	70703266	+	77	NA	exon (NM_001190987, exon 7 of 13)	exon (NM_001190987, exon 7 of 13)	31867	NM_004768	9295	Hs.479693	NM_004768	ENSG00000116754	SRSF11	NET2|SFRS11|dJ677H15.2|p54	serine/arginine-rich splicing factor 11	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4623	chrX	48455880	48455934	+	77	NA	5' UTR (NM_017883, exon 1 of 9)	promoter-TSS (NR_029427)	27	NR_029427	64743	Hs.521973	NM_017883	ENSG00000101940	WDR13	MG21	WD repeat domain 13	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2454	chr2	36775827	36775888	+	77	NA	3' UTR (NM_016441, exon 17 of 17)	3' UTR (NM_016441, exon 17 of 17)	49475	NM_001042548	9637	Hs.258563	NM_005102	ENSG00000171055	FEZ2	HUM3CL	fasciculation and elongation protein zeta 2 (zygin II)	protein-coding
