PeakID (cmd=annotatePeaks.pl 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_378	chr11	65270113	65270162	+	125	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	4904	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1060	chr2	20251272	20251417	+	125	NA	5' UTR (NM_014713, exon 1 of 7)	5' UTR (NM_014713, exon 1 of 7)	445	NM_014713	9741	Hs.467807	NM_014713	ENSG00000068697	LAPTM4A	HUMORF13|LAPTM4|MBNT|Mtrp	lysosomal protein transmembrane 4 alpha	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1001	chr19	18433812	18433914	+	125	NA	5' UTR (NM_001252129, exon 1 of 4)	5' UTR (NM_001252129, exon 1 of 4)	138	NM_001252129	25804	Hs.515255	NM_012321	ENSG00000130520	LSM4	GRP|YER112W	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2028	chrM	15466	15521	+	124	NA	NA	Intergenic	NA	NA								
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1047	chr19	39138309	39138424	+	124	NA	5' UTR (NM_004924, exon 1 of 21)	promoter-TSS (NM_004924)	99	NM_004924	81	Hs.270291	NM_004924		ACTN4	ACTININ-4|FSGS|FSGS1	actinin, alpha 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_653	chr14	102551602	102551653	+	123	NA	intron (NM_001017963, intron 5 of 11)	intron (NM_001017963, intron 5 of 11)	1885	NM_005348	3320	Hs.525600	NM_005348	ENSG00000080824	HSP90AA1	EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	heat shock protein 90kDa alpha (cytosolic), class A member 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_666	chr15	35087680	35087749	+	123	NA	5' UTR (NM_005159, exon 1 of 7)	5' UTR (NM_005159, exon 1 of 7)	213	NM_005159	70	Hs.118127	NM_005159	ENSG00000159251	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	actin, alpha, cardiac muscle 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_67	chr1	45244070	45244125	+	123	NA	non-coding (NR_001457, exon 1 of 1)	promoter-TSS (NR_001457)	35	NR_001457	94163		NR_001457	ENSG00000207421	SNORD38B	RNU38B|U38B	small nucleolar RNA, C/D box 38B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2058	chrX	102941561	102941626	+	123	NA	5' UTR (NM_001142423, exon 1 of 4)	promoter-TSS (NR_038978)	153	NM_001142424	9643	Hs.326387	NM_012286	ENSG00000123562	MORF4L2	MORFL2|MRGX	mortality factor 4 like 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1366	chr22	30163360	30163422	+	122	NA	5' UTR (NM_013387, exon 1 of 2)	promoter-TSS (NM_013387)	33	NM_001003684	29796	Hs.284292	NM_013387	ENSG00000184076	UQCR10	HSPC051|HSPC119|HSPC151|QCR9|UCCR7.2|UCRC	ubiquinol-cytochrome c reductase, complex III subunit X	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_954	chr18	54305757	54305845	+	122	NA	5' UTR (NM_004786, exon 1 of 8)	non-coding (NR_024546, exon 1 of 9)	119	NM_004786	9352	Hs.114412	NM_004786		TXNL1	HEL-S-114|TRP32|TXL-1|TXNL|Txl	thioredoxin-like 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_109	chr1	146556222	146556300	+	122	NA	non-coding (NR_121645, exon 1 of 1)	promoter-TSS (NR_121645)	42	NR_121645	101447996		NR_121645		RNVU1-8	RNU1-145|vU1.8	RNA, variant U1 small nuclear 8	snRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_982	chr18	71815762	71815830	+	122	NA	5' UTR (NM_014177, exon 1 of 6)	promoter-TSS (NM_014177)	50	NM_014177	29090	Hs.532835	NM_014177		TIMM21	C18orf55|HSPC154|TIM21	translocase of inner mitochondrial membrane 21 homolog (yeast)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_779	chr16	84073579	84073631	+	122	NA	intron (NM_001080442, intron 1 of 9)	5S|rRNA|rRNA	2157	NM_001080442	146167		NM_001080442	ENSG00000166558	SLC38A8	FVH2	solute carrier family 38, member 8	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_856	chr17	22022578	22022697	+	122	NA	5' UTR (NM_001190452, exon 1 of 1)	5' UTR (NM_001190452, exon 1 of 1)	200	NM_001190452	100462977	Hs.740185	NM_001190452	ENSG00000256618	MTRNR2L1	HN1	MT-RNR2-like 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_82	chr1	70687201	70687277	+	122	NA	intron (NM_001190987, intron 1 of 12)	intron (NM_001190987, intron 1 of 12)	15874	NM_001190987	9295	Hs.479693	NM_004768	ENSG00000116754	SRSF11	NET2|SFRS11|dJ677H15.2|p54	serine/arginine-rich splicing factor 11	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1763	chr7	26233201	26233260	+	122	NA	exon (NM_031243, exon 9 of 12)	exon (NM_031243, exon 9 of 12)	7183	NM_031243	3181	Hs.487774	NM_002137	ENSG00000122566	HNRNPA2B1	HNRNPA2|HNRNPB1|HNRPA2|HNRPA2B1|HNRPB1|IBMPFD2|RNPA2|SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_845	chr17	16342353	16342406	+	122	NA	non-coding (NR_027667, exon 1 of 5)	promoter-TSS (NR_002744)	78	NR_027164	125144	Hs.368934	NM_152350	ENSG00000175061	LRRC75A-AS1	C17orf45|C17orf76-AS1|FAM211A-AS1|NCRNA00188|TSAP19	LRRC75A antisense RNA 1	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_981	chr18	66526203	66526272	+	122	NA	intron (NM_024781, intron 4 of 7)	U6|snRNA|snRNA	60920	NM_024781	79839	Hs.280781	NM_024781	ENSG00000150636	CCDC102B	ACY1L|AN|C18orf14|HsT1731	coiled-coil domain containing 102B	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1596	chr5	54603831	54603908	+	122	NA	5' UTR (NM_015360, exon 1 of 27)	promoter-TSS (NM_019030)	293	NM_015360	23517	Hs.274531	NM_015360	ENSG00000039123	SKIV2L2	Dob1|KIAA0052|Mtr4|fSAP118	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_116	chr1	149899620	149899691	+	121	NA	5' UTR (NM_005850, exon 1 of 6)	TTS (NM_001145862)	489	NM_005850	10262	Hs.516160	NM_005850	ENSG00000143368	SF3B4	AFD1|Hsh49|SAP49|SF3b49	splicing factor 3b, subunit 4, 49kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_405	chr11	75116665	75116718	+	121	NA	3' UTR (NM_001005, exon 7 of 7)	3' UTR (NM_001005, exon 7 of 7)	1226	NR_000025	114599	Hs.689080	NR_000025	ENSG00000207445	SNORD15B	RNU15B|U15B	small nucleolar RNA, C/D box 15B	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1604	chr5	68462976	68463054	+	120	NA	5' UTR (NM_031966, exon 1 of 9)	5' UTR (NM_031966, exon 1 of 9)	178	NM_031966	891	Hs.23960	NM_031966	ENSG00000134057	CCNB1	CCNB	cyclin B1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_2179	chrX	153991190	153991266	+	120	NA	5' UTR (NM_001142463, exon 1 of 15)	non-coding (NR_110023, exon 1 of 15)	211	NR_110022	1736	Hs.4747	NM_001363	ENSG00000130826	DKC1	CBF5|DKC|DKCX|NAP57|NOLA4|XAP101	dyskeratosis congenita 1, dyskerin	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_463	chr12	38555246	38555302	+	120	NA	Intergenic--10537	5S|rRNA|rRNA	-155283	NM_001013620	144245	Hs.259305	NM_001013620	ENSG00000175548	ALG10B	ALG10|KCR1	ALG10B, alpha-1,2-glucosyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1836	chr7	12727258	12727317	+	120	NA	5' UTR (NM_001195396, exon 1 of 2)	5' UTR (NM_001195396, exon 1 of 2)	376	NM_005738	10124	Hs.245540	NM_005738	ENSG00000122644	ARL4A	ARL4	ADP-ribosylation factor like GTPase 4A	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_118	chr1	150208408	150208464	+	120	NA	5' UTR (NM_001136478, exon 1 of 6)	promoter-TSS (NM_001136478)	68	NM_030920	81611	Hs.656466	NM_030920	ENSG00000143401	ANP32E	LANP-L|LANPL	acidic nuclear phosphoprotein 32 family member E	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_644	chr14	59951232	59951307	+	120	NA	5' UTR (NM_001284204, exon 1 of 6)	promoter-TSS (NM_144581)	108	NM_001284203	51528	Hs.446850	NM_016475	ENSG00000050130	JKAMP	C14orf100|CDA06|HSPC213|HSPC327|JAMP	JNK1/MAPK8-associated membrane protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_49	chr1	32688005	32688065	+	120	NA	5' UTR (NM_003757, exon 1 of 11)	promoter-TSS (NR_133636)	-63	NR_133634	56063	Hs.272299	NM_019118	ENSG00000160055	TMEM234	AASL548|C1orf91|PRO1105|RP4-622L5|dJ622L5.7	transmembrane protein 234	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1178	chr2	232325088	232325146	+	120	NA	non-coding (NR_004398, exon 1 of 1)	promoter-TSS (NR_004398)	36	NR_004398	25826		NR_004398	ENSG00000202400	SNORD82	RNU82|U82|Z25	small nucleolar RNA, C/D box 82	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1257	chr2	228189989	228190068	+	120	NA	5' UTR (NM_001277066, exon 1 of 6)	promoter-TSS (NR_102371)	-148	NR_102371	654841	Hs.659982	NR_102371	ENSG00000236432	LOC654841	-	uncharacterized LOC654841	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1228	chr2	201694732	201694807	+	119	NA	Intergenic--2617	U6|snRNA|snRNA	17713	NM_001207068	9689	Hs.355983	NM_014670	ENSG00000082153	BZW1	BZAP45|Nbla10236	basic leucine zipper and W2 domains 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_148	chr1	161123773	161123839	+	119	NA	5' UTR (NM_016406, exon 1 of 6)	exon (NM_016406, exon 1 of 6)	272	NM_016406	51506	Hs.301412	NM_016406	ENSG00000143222	UFC1	HSPC155	ubiquitin-fold modifier conjugating enzyme 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1944	chr9	19376555	19376616	+	119	NA	exon (NM_001010, exon 5 of 6)	exon (NM_001010, exon 5 of 6)	3650	NM_001010	6194	Hs.408073	NM_001010	ENSG00000137154	RPS6	S6	ribosomal protein S6	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1292	chr20	33104227	33104281	+	119	NA	5' UTR (NM_014183, exon 1 of 4)	promoter-TSS (NM_014183)	65	NM_001281729	83658	Hs.593920	NM_014183	ENSG00000125971	DYNLRB1	BITH|BLP|DNCL2A|DNLC2A|ROBLD1	dynein, light chain, roadblock-type 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_871	chr17	34136488	34136580	+	118	NA	5' UTR (NM_139215, exon 1 of 16)	promoter-TSS (NM_139215)	75	NM_003487	8148	Hs.402752	NM_003487	ENSG00000270647	TAF15	Npl3|RBP56|TAF2N|TAFII68	TATA box binding protein associated factor 15	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_319	chr11	9406197	9406269	+	118	NA	5' UTR (NM_006391, exon 1 of 25)	promoter-TSS (NM_006391)	64	NM_006391	10527	Hs.744911	NM_006391	ENSG00000205339	IPO7	Imp7|RANBP7	importin 7	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_327	chr11	28129615	28129682	+	118	NA	5' UTR (NM_031217, exon 1 of 17)	promoter-TSS (NM_001113528)	98	NM_031217	81930	Hs.301052	NM_031217	ENSG00000121621	KIF18A	MS-KIF18A|PPP1R99	kinesin family member 18A	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_832	chr17	17494913	17495005	+	118	NA	5' UTR (NM_001267552, exon 1 of 8)	promoter-TSS (NM_001267552)	58	NM_148172	10400	Hs.714193	NM_007169	ENSG00000133027	PEMT	PEAMT|PEMPT|PEMT2|PNMT	phosphatidylethanolamine N-methyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1067	chr19	48949249	48949315	+	118	NA	5' UTR (NM_031485, exon 1 of 7)	exon (NM_031485, exon 1 of 7)	252	NM_031485	83743	Hs.400625	NM_031485		GRWD1	CDW4|GRWD|RRB1|WDR28	glutamate-rich WD repeat containing 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_790b	chr16	87863871	87864112	+	118	NA	3' UTR (NM_003486, exon 10 of 10)	3' UTR (NM_003486, exon 10 of 10)	4275	NR_106833	102465464		NR_106833	ENSG00000278598	MIR6775	hsa-mir-6775	microRNA 6775	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1480	chr5	6633091	6633157	+	118	NA	5' UTR (NM_001193455, exon 1 of 18)	promoter-TSS (NM_001047)	349	NM_017755	54888	Hs.481526	NM_017755	ENSG00000037474	NSUN2	MISU|MRT5|SAKI|TRM4	NOP2/Sun RNA methyltransferase family, member 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1312	chr20	43514347	43514466	+	118	NA	5' UTR (NM_003404, exon 1 of 7)	5' UTR (NM_003404, exon 1 of 7)	166	NM_003404	7529	Hs.643544	NM_003404	ENSG00000166913	YWHAB	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1686	chr6	86388385	86388449	+	118	NA	non-coding (NR_003038, exon 1 of 6)	promoter-TSS (NR_003038)	34	NR_003038	387066	Hs.292457	NR_003038	ENSG00000203875	SNHG5	C6orf160|LINC00044|NCRNA00044|U50HG|bA33E24.2	small nucleolar RNA host gene 5	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_396	chr11	68228217	68228284	+	118	NA	5' UTR (NM_001164162, exon 1 of 24)	promoter-TSS (NM_001164162)	64	NM_018312	55291	Hs.503022	NM_018312	ENSG00000110075	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	protein phosphatase 6, regulatory subunit 3	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_622	chr14	54907987	54908055	+	118	NA	5' UTR (NM_005776, exon 1 of 5)	exon (NM_005776, exon 1 of 5)	127	NM_005776	10175	Hs.294603	NM_005776		CNIH1	CNIH|CNIH-1|CNIL|TGAM77	cornichon family AMPA receptor auxiliary protein 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_389	chr11	77348759	77348834	+	118	NA	5' UTR (NM_001311199, exon 1 of 7)	promoter-TSS (NM_001311199)	55	NM_001311202	1207	Hs.430733	NM_001293	ENSG00000074201	CLNS1A	CLCI|CLNS1B|ICln	chloride channel, nucleotide-sensitive, 1A	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1230	chr2	203130481	203130549	+	118	NA	5' UTR (NM_015934, exon 1 of 15)	promoter-TSS (NM_015934)	0	NM_015934	51602	Hs.471104	NM_015934	ENSG00000055044	NOP58	HSPC120|NOP5|NOP5/NOP58	NOP58 ribonucleoprotein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1267	chr2	242255356	242255420	+	118	NA	5' UTR (NM_001282973, exon 1 of 17)	promoter-TSS (NM_005336)	112	NM_001282972	4735	Hs.721234	NM_004404	ENSG00000168385	SEPT2	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	septin 2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_244	chr10	43904563	43904630	+	117	NA	5' UTR (NM_001098204, exon 1 of 4)	promoter-TSS (NM_001098205)	60	NM_004966	3185	Hs.808	NM_004966	ENSG00000169813	HNRNPF	HNRPF|OK/SW-cl.23|mcs94-1	heterogeneous nuclear ribonucleoprotein F	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1472	chr3	184032394	184032455	+	117	NA	5' UTR (NM_198242, exon 1 of 29)	promoter-TSS (NM_182917)	134	NM_001291157	1981	Hs.433750	NM_004953	ENSG00000114867	EIF4G1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18	eukaryotic translation initiation factor 4 gamma, 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_456	chr12	7080084	7080205	+	116	NA	exon (NM_006331, exon 1 of 7)	promoter-TSS (NM_001267700)	200	NM_006331	10436	Hs.558447	NM_006331		EMG1	C2F|Grcc2f|NEP1	EMG1 N1-specific pseudouridine methyltransferase	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1029	chr19	17666458	17666515	+	116	NA	Intergenic	promoter-TSS (NM_024656)	-25	NM_024656	79709	Hs.418795	NM_024656	ENSG00000130309	COLGALT1	GLT25D1	collagen beta(1-O)galactosyltransferase 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1106	chr2	10262866	10262938	+	115	NA	5' UTR (NM_001034, exon 1 of 10)	promoter-TSS (NM_001034)	39	NM_001034	6241	Hs.226390	NM_001034	ENSG00000171848	RRM2	R2|RR2|RR2M	ribonucleotide reductase M2	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_770	chr16	69788742	69788824	+	115	NA	5' UTR (NM_014062, exon 1 of 9)	promoter-TSS (NM_014062)	88	NM_014062	28987	Hs.271695	NM_014062	ENSG00000141101	NOB1	ART-4|MST158|MSTP158|NOB1P|PSMD8BP1	NIN1/RPN12 binding protein 1 homolog	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1143	chr2	59549315	59549404	+	115	NA	Intergenic--1990	5S|rRNA|rRNA	104516	NR_110219	101927285	Hs.570209	NR_110219	ENSG00000222030	LOC101927285	-	uncharacterized LOC101927285	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_166	chr1	173446477	173446623	+	115	NA	5' UTR (NM_004905, exon 1 of 5)	promoter-TSS (NM_004905)	64	NM_004905	9588	Hs.120	NM_004905	ENSG00000117592	PRDX6	1-Cys|AOP2|HEL-S-128m|NSGPx|PRX|aiPLA2|p29	peroxiredoxin 6	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_332	chr11	33757898	33757960	+	115	NA	5' UTR (NM_000611, exon 1 of 4)	promoter-TSS (NM_000611)	96	NM_203331	966	Hs.278573	NM_000611		CD59	16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20	CD59 molecule, complement regulatory protein	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1025	chr19	16197325	16197387	+	115	NA	intron (NM_003290, intron 3 of 7)	intron (NM_003290, intron 3 of 7)	10221	NM_003290	7171	Hs.631618	NM_003290	ENSG00000167460	TPM4	HEL-S-108	tropomyosin 4	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_785	chr16	56716382	56716466	+	115	NA	5' UTR (NM_005952, exon 1 of 3)	promoter-TSS (NM_005952)	42	NM_005952	4501	Hs.374950	NM_005952	ENSG00000187193	MT1X	MT-1l|MT1	metallothionein 1X	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_224	chr10	7830151	7830223	+	115	NA	5' UTR (NM_005174, exon 1 of 9)	promoter-TSS (NM_005174)	94	NM_005174	509	Hs.271135	NM_005174	ENSG00000165629	ATP5C1	ATP5C|ATP5CL1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_460	chr12	31587326	31587375	+	115	NA	intron (NM_144973, intron 7 of 20)	5S|rRNA|rRNA	-108191	NM_001135812	58516	Hs.505154	NM_021238	ENSG00000139146	FAM60A	C12orf14|L4|TERA	family with sequence similarity 60, member A	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_424	chr11	118661781	118661859	+	115	NA	5' UTR (NM_004397, exon 1 of 14)	promoter-TSS (NM_001257191)	152	NM_004397	1656	Hs.408461	NM_004397	ENSG00000110367	DDX6	HLR2|P54|RCK	DEAD (Asp-Glu-Ala-Asp) box helicase 6	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_670	chr15	40331275	40331369	+	115	NA	5' UTR (NM_003134, exon 1 of 5)	promoter-TSS (NM_003134)	81	NM_003134	6727	Hs.533732	NM_003134	ENSG00000140319	SRP14	ALURBP	signal recognition particle 14kDa	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_1624	chr6	27515517	27515593	+	115	NA	Intergenic--5532	tRNA-Gln-CAG|tRNA|tRNA	-74658	NM_007149	7738	Hs.158174	NM_007149	ENSG00000096654	ZNF184	-	zinc finger protein 184	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_500	chr12	66524473	66524533	+	115	NA	5' UTR (NM_032338, exon 1 of 3)	promoter-TSS (NM_032338)	-28	NR_125724	103625681	Hs.504820	NR_125724	ENSG00000239335	LLPH-AS1	-	LLPH antisense RNA 1 (head to head)	ncRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_rstrand_peak_2086	chrX	153593167	153593224	+	114	NA	exon (NM_001110556, exon 12 of 48)	exon (NM_001110556, exon 12 of 48)	9811	NM_001110556	2316	Hs.195464	NM_001456	ENSG00000196924	FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	filamin A, alpha	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1626	chr5	111497189	111497294	+	114	NA	non-coding (NR_002922, exon 1 of 1)	promoter-TSS (NR_002922)	59	NR_002922	654322	Hs.689709	NR_002922	ENSG00000238363	SNORA13	ACA13	small nucleolar RNA, H/ACA box 13	snoRNA
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_546	chr12	104340694	104340751	+	114	NA	intron (NM_003299, intron 16 of 17)	intron (NM_003299, intron 16 of 17)	10271	NM_001135570	728568	Hs.42547	NM_001135570	ENSG00000204954	C12orf73	-	chromosome 12 open reading frame 73	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_1961	chr8	38854464	38854546	+	114	NA	5' UTR (NM_003816, exon 1 of 22)	promoter-TSS (NM_078473)	0	NM_003816	8754	Hs.591852	NM_003816	ENSG00000168615	ADAM9	CORD9|MCMP|MDC9|Mltng	ADAM metallopeptidase domain 9	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_934	chr17	72200291	72200342	+	114	NA	exon (NM_001035258, exon 3 of 5)	exon (NM_001035258, exon 3 of 5)	521	NM_000999	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
4E1-ctrl-02_S7_ut_rRNAfiltered_ud.star.hg19.sort_2_fstrand_peak_19	chr1	19578318	19578368	+	114	NA	5' UTR (NM_016183, exon 1 of 8)	promoter-TSS (NM_015047)	268	NM_016183	51154	Hs.463797	NM_016183	ENSG00000053372	MRTO4	C1orf33|MRT4|dJ657E11.4	MRT4 homolog, ribosome maturation factor	protein-coding
