PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10b_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10b_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10b_sorted_rstrand_peak_787	chr11	61567937	61568046	+	132	NA	3' UTR (NM_013402, exon 12 of 12)	3' UTR (NM_013402, exon 12 of 12)	7882	NM_004111	2237	Hs.409065	NM_004111	ENSG00000168496	FEN1	FEN-1|MF1|RAD2	flap structure-specific endonuclease 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2710	chr22	30987811	30987887	+	132	NA	5' UTR (NM_014303, exon 1 of 15)	promoter-TSS (NM_014303)	78	NM_001243225	23481	Hs.517543	NM_014303	ENSG00000100029	PES1	PES	pescadillo ribosomal biogenesis factor 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2239	chr2	1748221	1748282	+	131	NA	5' UTR (NM_012293, exon 1 of 23)	promoter-TSS (NM_012293)	68	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3748	chr6	26538598	26538725	+	131	NA	5' UTR (NM_006353, exon 1 of 2)	promoter-TSS (NM_006353)	89	NM_006353	10473	Hs.236774	NM_006353		HMGN4	HMG17L3|NHC	high mobility group nucleosomal binding domain 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2247	chr19	16212346	16212458	+	131	NA	3' UTR (NM_001145160, exon 9 of 9)	3' UTR (NM_001145160, exon 9 of 9)	-10088	NM_005370	4218	Hs.642874	NM_005370		RAB8A	MEL|RAB8	RAB8A, member RAS oncogene family	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1947	chr17	41400768	41400934	+	131	NA	Intergenic--13835	LTR13|LTR|ERVK	-19789	NR_047479	100874261	Hs.546898	NR_047479		LINC00854	TMEM106A-AS1	long intergenic non-protein coding RNA 854	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_801c	chr11	65191774	65192264	+	131	NA	non-coding (NR_131012, exon 1 of 1)	non-coding (NR_131012, exon 1 of 1)	1750	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3579	chr6	86352952	86353031	+	131	NA	5' UTR (NM_001159677, exon 1 of 12)	promoter-TSS (NM_001159674)	52	NM_006372	10492	Hs.571177	NM_006372	ENSG00000135316	SYNCRIP	GRY-RBP|GRYRBP|HNRNPQ|HNRPQ1|NSAP1|PP68|hnRNP-Q	synaptotagmin binding, cytoplasmic RNA interacting protein	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2666	chr21	40555245	40555378	+	131	NA	exon (NM_203433, exon 1 of 6)	exon (NM_203433, exon 1 of 6)	129	NR_049728	8624	Hs.473838	NM_003720	ENSG00000183527	PSMG1	C21LRP|DSCR2|LRPC21|PAC-1|PAC1	proteasome (prosome, macropain) assembly chaperone 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1896	chr17	34136489	34136583	+	131	NA	5' UTR (NM_139215, exon 1 of 16)	promoter-TSS (NM_139215)	77	NM_003487	8148	Hs.402752	NM_003487	ENSG00000270647	TAF15	Npl3|RBP56|TAF2N|TAFII68	TATA box binding protein associated factor 15	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4720	chrX	153657006	153657075	+	131	NA	exon (NM_001183, exon 1 of 10)	promoter-TSS (NR_103768)	62	NM_001183	537	Hs.6551	NM_001183	ENSG00000071553	ATP6AP1	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	ATPase, H+ transporting, lysosomal accessory protein 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3759	chr6	27265808	27265874	+	131	NA	Intergenic--5527	tRNA-Ser-AGY|tRNA|tRNA	14170	NM_033482	94026	Hs.729955	NM_033482	ENSG00000158553	POM121L2	POM121-L|POM121L	POM121 transmembrane nucleoporin-like 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1227	chr13	60737989	60738066	+	131	NA	5' UTR (NM_001258366, exon 1 of 27)	promoter-TSS (NM_001258366)	92	NM_001258369	81624	Hs.283127	NM_030932	ENSG00000139734	DIAPH3	AN|AUNA1|DIA2|DRF3|NSDAN|diap3|mDia2	diaphanous-related formin 3	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2879	chr3	101399965	101400030	+	131	NA	exon (NM_000986, exon 6 of 6)	TTS (NM_000986)	-4009	NM_014415	27107	Hs.655286	NM_014415	ENSG00000066422	ZBTB11	ZNF-U69274|ZNF913	zinc finger and BTB domain containing 11	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_294	chr1	153516117	153516169	+	131	NA	3' UTR (NM_019554, exon 4 of 4)	TTS (NM_019554)	-1902	NM_002962	6276	Hs.2960	NM_002962	ENSG00000196420	S100A5	S100D	S100 calcium binding protein A5	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3755	chr6	27107061	27107277	+	131	NA	exon (NM_003495, exon 1 of 1)	promoter-TSS (NM_003495)	81	NM_003495	8294	Hs.248172	NM_003495		HIST1H4I	H4/m|H4FM|H4M	histone cluster 1, H4i	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2518	chr2	66662314	66662449	+	130	NA	Intergenic	promoter-TSS (NM_002398)	-151	NM_002398	4211	Hs.526754	NM_002398	ENSG00000143995	MEIS1	-	Meis homeobox 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2999	chr22	46067733	46067829	+	130	NA	5' UTR (NM_001167621, exon 1 of 11)	5' UTR (NM_001167621, exon 1 of 11)	103	NM_013236	25814	Hs.475125	NM_013236	ENSG00000130638	ATXN10	E46L|HUMEEP|SCA10	ataxin 10	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4065	chr7	89976004	89976086	+	130	NA	5' UTR (NM_001042717, exon 1 of 8)	promoter-TSS (NM_001042717)	66	NM_001042717	85865	Hs.593547	NM_033107	ENSG00000105793	GTPBP10	ObgH2|UG0751c10	GTP-binding protein 10 (putative)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4590	chrX	40440223	40440313	+	130	NA	5' UTR (NM_005765, exon 1 of 9)	promoter-TSS (NM_005765)	52	NM_005765	10159	Hs.495960	NM_005765	ENSG00000182220	ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	ATPase, H+ transporting, lysosomal accessory protein 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_334	chr1	156450488	156450556	+	130	NA	intron (NM_005920, intron 4 of 11)	intron (NM_005920, intron 4 of 11)	9869	NM_001271629	4209	Hs.314327	NM_005920	ENSG00000116604	MEF2D	-	myocyte enhancer factor 2D	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4677	chrX	118370248	118370362	+	129	NA	5' UTR (NM_001282621, exon 1 of 2)	promoter-TSS (NM_001282621)	97	NM_006667	10857	Hs.90061	NM_006667	ENSG00000101856	PGRMC1	HPR6.6|MPR	progesterone receptor membrane component 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4549	chrM	8624	8676	+	129	NA	NA	Intergenic	NA	NA								
4E1-PMA-01_S10b_sorted_rstrand_peak_3265	chr5	79947226	79947279	+	129	NA	intron (NM_001290354, intron 1 of 4)	promoter-TSS (NM_001190470)	-398	NM_001190470	100462981	Hs.666077	NM_001190470		MTRNR2L2	HN2	MT-RNR2-like 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1095	chr12	53848612	53848683	+	129	NA	exon (NM_001128914, exon 2 of 13)	exon (NM_001128914, exon 2 of 13)	2761	NM_001128914	5094	Hs.546271	NM_005016	ENSG00000197111	PCBP2	HNRNPE2|HNRPE2|hnRNP-E2	poly(rC) binding protein 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4525	chrX	153581635	153581687	+	129	NA	intron (NM_001456, intron 36 of 46)	intron (NM_001456, intron 36 of 46)	21345	NM_001456	2316	Hs.195464	NM_001456	ENSG00000196924	FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	filamin A, alpha	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1577	chr16	19533364	19533420	+	129	NA	5' UTR (NM_016641, exon 1 of 6)	promoter-TSS (NM_016641)	58	NM_016641	51573	Hs.512607	NM_016641	ENSG00000006007	GDE1	363E6.2|MIR16	glycerophosphodiester phosphodiesterase 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1214	chr13	46626808	46626859	+	129	NA	5' UTR (NM_015070, exon 1 of 17)	promoter-TSS (NR_046227)	63	NM_015070	23091	Hs.136102	NM_015070	ENSG00000123200	ZC3H13	KIAA0853	zinc finger CCCH-type containing 13	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3499	chr6	32095914	32096003	+	129	NA	exon (NM_004381, exon 1 of 18)	promoter-TSS (NM_004381)	59	NM_004381	1388	Hs.42853	NM_004381	ENSG00000213676	ATF6B	CREB-RP|CREBL1|G13	activating transcription factor 6 beta	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3095	chr3	52722921	52722976	+	129	NA	non-coding (NR_132757, exon 1 of 1)	promoter-TSS (NR_003047)	45	NR_132757	106633805		NR_132757		SNORD136	ZL26	small nucleolar RNA, C/D box 136	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_1806	chr17	4927554	4927631	+	129	NA	3' UTR (NM_006612, exon 23 of 23)	3' UTR (NM_006612, exon 23 of 23)	-4204	NR_120665	102724009	Hs.666487	NR_120665	ENSG00000227495	LOC102724009	-	uncharacterized LOC102724009	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2074	chr19	5680445	5680513	+	129	NA	5' UTR (NM_001308240, exon 1 of 5)	promoter-TSS (NM_198708)	-297	NM_198708	374875	Hs.631840	NM_198533	ENSG00000167733	HSD11B1L	11-DH3|11-beta-HSD3|HSD3|SCDR10|SCDR10B|SDR26C2	hydroxysteroid (11-beta) dehydrogenase 1-like	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4086	chr8	103876274	103876383	+	129	NA	5' UTR (NM_001301668, exon 1 of 12)	promoter-TSS (NR_126339)	100	NM_015878	51582	Hs.459106	NM_015878	ENSG00000155096	AZIN1	AZI|AZIA1|OAZI|OAZIN|ODC1L	antizyme inhibitor 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1066a	chr12	50850358	50850553	+	129	NA	non-coding (NR_132753, exon 1 of 1)	non-coding (NR_132753, exon 1 of 1)	101	NR_132753	106633800		NR_132753		SNORD133	ZL142|ggn68	small nucleolar RNA, C/D box 133	snoRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3402	chr6	7313338	7313414	+	129	NA	5' UTR (NM_003144, exon 1 of 8)	non-coding (NR_120448, exon 1 of 7)	171	NR_120448	6745	Hs.114033	NM_003144	ENSG00000124783	SSR1	TRAPA	signal sequence receptor, alpha	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2468	chr2	33141552	33141639	+	128	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10599	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_446	chr1	228645805	228645861	+	128	NA	exon (NM_175055, exon 1 of 1)	promoter-TSS (NM_033445)	25	NM_175055	128312	Hs.376691	NM_175055		HIST3H2BB	H2Bb	histone cluster 3, H2bb	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1567	chr16	11945288	11945409	+	128	NA	exon (NM_015659, exon 1 of 9)	promoter-TSS (NM_015659)	94	NM_015659	26156	Hs.401842	NM_015659	ENSG00000171490	RSL1D1	CSIG|L12|PBK1|UTP30	ribosomal L1 domain containing 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4502	chrX	135961361	135961432	+	128	NA	non-coding (NR_002735, exon 1 of 1)	promoter-TSS (NR_002735)	34	NR_002735	26787		NR_002735	ENSG00000206979	SNORD61	HBII-342|RNU61|U61	small nucleolar RNA, C/D box 61	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3977	chr7	11022540	11022695	+	128	NA	exon (NM_014660, exon 3 of 17)	exon (NM_014660, exon 3 of 17)	9118	NR_033436	9678	Hs.655688	NM_014660	ENSG00000106443	PHF14	-	PHD finger protein 14	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1297	chr14	34931376	34931446	+	128	NA	exon (NM_138288, exon 1 of 2)	promoter-TSS (NM_138288)	57	NM_138288	171546	Hs.740577	NM_138288	ENSG00000165389	SPTSSA	C14orf147|SSSPTA	serine palmitoyltransferase, small subunit A	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3401	chr6	7310141	7310206	+	128	NA	exon (NM_003144, exon 2 of 8)	exon (NM_003144, exon 2 of 8)	3374	NR_120448	6745	Hs.114033	NM_003144	ENSG00000124783	SSR1	TRAPA	signal sequence receptor, alpha	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_533	chr10	70101363	70101421	+	128	NA	exon (NM_012207, exon 8 of 10)	exon (NM_012207, exon 8 of 10)	-8708	NM_001033083	64081	Hs.198158	NM_022129	ENSG00000108187	PBLD	HEL-S-306|MAWBP|MAWDBP	phenazine biosynthesis-like protein domain containing	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3651	chr5	158690298	158690374	+	128	NA	5' UTR (NM_145049, exon 1 of 11)	5' UTR (NM_145049, exon 1 of 11)	247	NM_145049	134510	Hs.591733	NM_145049	ENSG00000164332	UBLCP1	CPUB1	ubiquitin-like domain containing CTD phosphatase 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1904	chr17	36453135	36453202	+	128	NA	exon (NM_032351, exon 1 of 8)	exon (NM_032351, exon 1 of 8)	179	NM_032351	84311	Hs.537279	NM_032351	ENSG00000278845	MRPL45	L45mt|MRP-L45	mitochondrial ribosomal protein L45	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_482	chr1	244615118	244615208	+	128	NA	5' UTR (NM_001126, exon 1 of 13)	5' UTR (NM_001126, exon 1 of 13)	273	NM_001126	159	Hs.498313	NM_001126	ENSG00000035687	ADSS	ADEH|ADSS 2	adenylosuccinate synthase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3761	chr7	26237216	26237285	+	127	NA	exon (NM_031243, exon 3 of 12)	exon (NM_031243, exon 3 of 12)	3163	NM_002137	3181	Hs.487774	NM_002137	ENSG00000122566	HNRNPA2B1	HNRNPA2|HNRNPB1|HNRPA2|HNRPA2B1|HNRPB1|IBMPFD2|RNPA2|SNRPB1	heterogeneous nuclear ribonucleoprotein A2/B1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_620	chr10	112631676	112631744	+	127	NA	5' UTR (NM_014456, exon 1 of 12)	5' UTR (NM_014456, exon 1 of 12)	157	NM_014456	27250	Hs.711490	NM_014456	ENSG00000150593	PDCD4	H731	programmed cell death 4 (neoplastic transformation inhibitor)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_485	chr10	7830127	7830227	+	127	NA	exon (NM_005174, exon 1 of 9)	promoter-TSS (NM_005174)	84	NM_005174	509	Hs.271135	NM_005174	ENSG00000165629	ATP5C1	ATP5C|ATP5CL1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1630	chr16	2088159	2088304	+	127	NA	3' UTR (NM_004785, exon 7 of 7)	3' UTR (NM_004785, exon 7 of 7)	4966	NM_001252075	9351	Hs.440896	NM_004785	ENSG00000065054	SLC9A3R2	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_66	chr1	25664806	25664908	+	127	NA	5' UTR (NM_014313, exon 1 of 7)	promoter-TSS (NM_014313)	68	NM_014313	23585	Hs.705699	NM_014313	ENSG00000183726	TMEM50A	IFNRC|SMP1	transmembrane protein 50A	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2315	chr2	55844652	55844827	+	127	NA	5' UTR (NM_001122964, exon 1 of 17)	5' UTR (NM_001122964, exon 1 of 17)	121	NM_001122964	57223	Hs.516182	NM_020463	ENSG00000275052	PPP4R3B	FLFL2|PP4R3B|PSY2|SMEK2|smk1	protein phosphatase 4, regulatory subunit 3B	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1045	chr12	56709669	56709773	+	127	NA	5' UTR (NM_001190991, exon 1 of 3)	TTS (NM_001127460)	407	NM_014255	10330	Hs.8752	NM_014255	ENSG00000257727	CNPY2	HP10390|MSAP|TMEM4|ZSIG9	canopy FGF signaling regulator 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1638a	chr16	2808475	2808589	+	127	NA	exon (NM_016333, exon 5 of 15)	exon (NM_016333, exon 5 of 15)	-5931	NR_027275	100128788	Hs.311208	NR_027274	ENSG00000205913	SRRM2-AS1	-	SRRM2 antisense RNA 1	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3809	chr7	72912834	72912905	+	127	NA	exon (NM_032408, exon 4 of 20)	exon (NM_032408, exon 4 of 20)	23746	NM_032408	9031	Hs.743372	NM_023005	ENSG00000009954	BAZ1B	WBSCR10|WBSCR9|WSTF	bromodomain adjacent to zinc finger domain 1B	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4532	chr9	139886887	139886974	+	127	NA	exon (NM_183241, exon 1 of 7)	promoter-TSS (NM_183241)	60	NM_183241	286257	Hs.409582	NM_183241	ENSG00000148362	C9orf142	PAXX	chromosome 9 open reading frame 142	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_133	chr1	40562864	40562922	+	127	NA	exon (NM_001142604, exon 1 of 6)	exon (NM_001142604, exon 1 of 6)	249	NM_000310	5538	Hs.3873	NM_000310	ENSG00000131238	PPT1	CLN1|INCL|PPT	palmitoyl-protein thioesterase 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2139	chr18	71815765	71815839	+	127	NA	5' UTR (NM_014177, exon 1 of 6)	promoter-TSS (NM_014177)	56	NM_014177	29090	Hs.532835	NM_014177		TIMM21	C18orf55|HSPC154|TIM21	translocase of inner mitochondrial membrane 21 homolog (yeast)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4127	chr7	116543372	116543422	+	127	NA	intron (NM_006136, intron 4 of 9)	U2|snRNA|snRNA	40834	NM_006136	830	Hs.446123	NM_006136		CAPZA2	CAPPA2|CAPZ	capping protein (actin filament) muscle Z-line, alpha 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_80	chr1	28844767	28844848	+	127	NA	5' UTR (NM_001269, exon 1 of 10)	promoter-TSS (NM_001269)	62	NM_001048194	1104	Hs.469723	NM_001269	ENSG00000180198	RCC1	CHC1|RCC1-I|SNHG3-RCC1	regulator of chromosome condensation 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3282	chr5	94890630	94890686	+	127	NA	5' UTR (NM_014639, exon 1 of 43)	promoter-TSS (NM_014639)	51	NM_014639	9652	Hs.482868	NM_014639	ENSG00000198677	TTC37	KIAA0372|Ski3|THES	tetratricopeptide repeat domain 37	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2888	chr3	119396179	119396237	+	127	NA	5' UTR (NM_005694, exon 1 of 3)	promoter-TSS (NM_005694)	35	NM_005694	10063	Hs.534383	NM_005694		COX17	-	COX17 cytochrome c oxidase copper chaperone	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_229	chr1	113162440	113162529	+	127	NA	exon (NM_006135, exon 1 of 10)	promoter-TSS (NM_138728)	409	NM_006135	829	Hs.744974	NM_006135	ENSG00000116489	CAPZA1	CAPPA1|CAPZ|CAZ1	capping protein (actin filament) muscle Z-line, alpha 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4286	chr9	113013092	113013159	+	126	NA	exon (NM_003329, exon 3 of 5)	exon (NM_003329, exon 3 of 5)	5795	NM_003329	7295	Hs.435136	NM_003329	ENSG00000136810	TXN	TRDX|TRX|TRX1	thioredoxin	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3906	chr6	133137944	133138008	+	126	NA	non-coding (NR_002435, exon 1 of 1)	promoter-TSS (NR_002435)	35	NR_002435	594838		NR_002435	ENSG00000221500	SNORD100	HBII-429	small nucleolar RNA, C/D box 100	snoRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_451	chr1	230203012	230203074	+	126	NA	exon (NM_004481, exon 1 of 16)	exon (NM_004481, exon 1 of 16)	101	NR_120373	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3181	chr5	16703043	16703123	+	126	NA	exon (NM_012334, exon 23 of 41)	exon (NM_012334, exon 23 of 41)	-85916	NM_001034850	54463	Hs.481704	NM_019000	ENSG00000154153	FAM134B	JK-1|JK1	family with sequence similarity 134, member B	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_790	chr11	62285860	62285929	+	126	NA	exon (NM_001620, exon 5 of 5)	exon (NM_001620, exon 5 of 5)	28438	NM_024060	79026	Hs.502756	NM_001620	ENSG00000124942	AHNAK	AHNAKRS	AHNAK nucleoprotein	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4406b	chrX	53439855	53440035	+	126	NA	exon (NM_001281463, exon 6 of 26)	exon (NM_001281463, exon 6 of 26)	-7248	NR_106916	102465516		NR_106916	ENSG00000278204	MIR6857	hsa-mir-6857	microRNA 6857	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_1754	chr16	74330712	74330819	+	126	NA	5' UTR (NM_002811, exon 1 of 7)	promoter-TSS (NM_002811)	92	NM_002811	5713	Hs.440604	NM_002811	ENSG00000103035	PSMD7	MOV34|P40|Rpn8|S12	proteasome 26S subunit, non-ATPase 7	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2179	chr19	4422563	4422807	+	126	NA	exon (NM_005483, exon 5 of 15)	exon (NM_005483, exon 5 of 15)	20025	NM_005483	10036	Hs.79018	NM_005483	ENSG00000167670	CHAF1A	CAF-1|CAF1|CAF1B|CAF1P150|P150	chromatin assembly factor 1, subunit A (p150)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3458a	chr5	34915747	34915965	+	125	NA	exon (NM_018321, exon 1 of 10)	promoter-TSS (NM_018321)	36	NM_018321	55299	Hs.718510	NM_018321		BRIX1	BRIX|BXDC2	BRX1, biogenesis of ribosomes	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4530	chrX	153593702	153593763	+	125	NA	exon (NM_001110556, exon 10 of 48)	exon (NM_001110556, exon 10 of 48)	9274	NM_001456	2316	Hs.195464	NM_001456	ENSG00000196924	FLNA	ABP-280|ABPX|CSBS|CVD1|FLN|FLN-A|FLN1|FMD|MNS|NHBP|OPD|OPD1|OPD2|XLVD|XMVD	filamin A, alpha	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2485	chr2	198362014	198362097	+	125	NA	exon (NM_199440, exon 3 of 12)	exon (NM_199440, exon 3 of 12)	2585	NM_002156	3329	Hs.595053	NM_002156	ENSG00000144381	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	heat shock 60kDa protein 1 (chaperonin)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1551	chr15	63349221	63349325	+	125	NA	exon (NM_000366, exon 3 of 10)	exon (NM_000366, exon 3 of 10)	8637	NM_001301289	7168	Hs.133892	NM_000366	ENSG00000140416	TPM1	C15orf13|CMD1Y|CMH3|HEL-S-265|HTM-alpha|LVNC9|TMSA	tropomyosin 1 (alpha)	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_149	chr1	53480611	53480668	+	125	NA	5' UTR (NM_001007250, exon 1 of 4)	promoter-TSS (NM_001007250)	29	NM_001007100	6342	Hs.476365	NM_002979	ENSG00000116171	SCP2	NLTP|NSL-TP|SCP-2|SCP-CHI|SCP-X|SCPX	sterol carrier protein 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2514	chr2	64068218	64068293	+	125	NA	5' UTR (NM_001001521, exon 1 of 10)	promoter-TSS (NM_006759)	157	NM_001001521	7360	Hs.516217	NM_006759	ENSG00000169764	UGP2	UDPG|UDPGP|UDPGP2|UGP1|UGPP1|UGPP2|pHC379	UDP-glucose pyrophosphorylase 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_290	chr1	152009391	152009491	+	125	NA	5' UTR (NM_005620, exon 1 of 3)	promoter-TSS (NM_005620)	70	NM_005620	6282	Hs.417004	NM_005620	ENSG00000163191	S100A11	HEL-S-43|MLN70|S100C	S100 calcium binding protein A11	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_804	chr11	65193517	65193580	+	125	NA	non-coding (NR_131012, exon 1 of 1)	non-coding (NR_131012, exon 1 of 1)	3279	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2539	chr2	85133540	85133603	+	125	NA	3' UTR (NM_021103, exon 3 of 3)	3' UTR (NM_021103, exon 3 of 3)	808	NM_021103	9168	Hs.446574	NM_021103	ENSG00000034510	TMSB10	MIG12|TB10	thymosin beta 10	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3778	chr6	28908867	28908942	+	125	NA	Intergenic--5563	tRNA-Leu-TTG|tRNA|tRNA	-2657	NR_103538	729583	Hs.453549	NR_103538		LINC01556	C6orf100|dJ25J6.5	long intergenic non-protein coding RNA 1556	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_2947	chr22	31795592	31795709	+	125	NA	5' UTR (NM_004147, exon 1 of 9)	5' UTR (NM_004147, exon 1 of 9)	111	NM_004147	4733	Hs.115242	NM_004147	ENSG00000185721	DRG1	NEDD3	developmentally regulated GTP binding protein 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_309	chr1	161123771	161123850	+	125	NA	exon (NM_016406, exon 1 of 6)	exon (NM_016406, exon 1 of 6)	276	NM_016406	51506	Hs.301412	NM_016406	ENSG00000143222	UFC1	HSPC155	ubiquitin-fold modifier conjugating enzyme 1	protein-coding
